NAME,MSINI,A,PER,ECC,OM,T0,K,MSTAR
HD 189733 b,1.14039,0.0309953,2.21857567,0,90,2454279.436714,205,0.806
HD 108863 b,2.55796,1.39761,443.4,0,177,2455516,45.2,1.85
HD 1502 b,3.08886,1.3112,431.8,0.101,219,2455227,60.7,1.61
HD 142022 b,4.46762,2.93163,1928,0.53,170,2450941,92,0.9
WASP-72 b,1.40552,0.036575,2.216726,0,90,2455583.6557,181.3,1.327
HD 212771 b,2.25208,1.06369,373.3,0.111,55,2454947,58.2,1.15
HD 134987 b,1.56347,0.807929,258.18,0.233,352.7,2450071,49.5,1.054
HD 187123 c,1.9422,4.83146,3805.6705,0.252086,242.973,2453580.036,25.4708,1.037
HD 101930 b,0.299187,0.302019,70.459999,0.11,251,2453145,18.1,0.74
Kepler-46 c,,0.280101,57.011,0.0146,298,2455053.2826,,0.902
HD 131664 b,18.3282,3.17098,1951,0.638,149.7,2452060,359.5,1.1
HIP 57050 b,0.297735,0.163506,41.397,0.314,238.1,2451544.1,37.8,0.34
Kepler-9 d,,0.0266925,1.592851,0,90,2455015.0934,,1
Kepler-49 b,,0.0598092,7.2037945,,,,,0.55
WASP-67 b,0.418184,0.0517914,4.61442,0,90,2455824.3742,56,0.87
HD 147018 c,6.59355,1.92274,1008,0.133,226.9,2455301,141.2,0.927
Kepler-32 b,0,0.0520435,5.90124,0,90,2454974.902,,0.54
HD 92788 b,3.56392,0.951142,325.81,0.334,276.4,2450759.2,106,1.078
HAT-P-12 b,0.210772,0.0383737,3.2130598,0,90,2454419.195596,35.8,0.73
HD 154857 b,2.33267,1.29206,409,0.47,59,2450346,50.4,1.718
Kepler-25 c,0,0.113953,12.720359,0,90,2454986.0871,,1.22
HD 163607 b,0.768857,0.359201,75.29,0.73,78.7,2454185,51.1,1.09
HD 19994 b,1.32681,1.30567,466.2,0.266,346,2453757,29.3,1.365
WASP-29 b,0.242938,0.0456587,3.922727,0.03,90,2455321.215,35.6,0.825
OGLE-TR-182 b,1.02162,0.0513517,3.9791,0,90,2454270.572,120,1.14
HD 85512 b,0.0113953,0.260405,58.43,0.11,178,2455250.015,0.769,0.69
HD 106252 b,6.95913,2.61147,1531,0.482,292.8,2453397.5,138.8,1.007
18 Del b,10.2096,2.57542,993.3,0.08,166.1,2451672,119.4,2.3
Kepler-54 c,,0.0822829,12.0717249,,,,,0.51
Kepler-33 b,,0.0677431,5.66793,0,90,2454964.8981,,1.291
Kepler-34 b,0.22,0.86856,288.822,0.182,7.90716,2454890.1,,1.0479
HD 171028 b,1.96177,1.31019,550,0.59,304,2454187,60.6,0.99
WASP-1 b,0.827536,0.0385203,2.5199449,0,90,2454005.75196,109.4,1.2
XO-5 b,1.15082,0.0508651,4.1877537,0,90,2454485.66842,145,1
HAT-P-3 b,0.595021,0.0388252,2.899703,0,90,2454218.7594,89.1,0.928
upsilon And d,4.11582,2.52452,1278.1218,0.267395,269.685,2453937.728,66.6805,1.31
KOI 868.01,,0.628,235.97424,0,,,,
KOI 869.01,,0.069,7.490188,0,,,,
KOI 869.02,,0.197,36.28011,0,,,,
KOI 869.03,,0.121,17.46067,0,,,,
KOI 869.04,,0.039,3.219792,0,,,,
KOI 871.01,,0.108,12.9406716,0,,,,
KOI 873.01,,0.051,4.347326,0,,,,
KOI 874.01,,0.049,4.601836,0,,,,
KOI 874.02,,0.089,11.18714,0,,,,
KOI 875.01,,0.044,4.220959,0,,,,
KOI 877.01,,0.056,5.954893,0,,,,
KOI 877.02,,0.089,12.039901,0,,,,
KOI 877.03,,0.128,20.83798,0,,,,
KOI 878.01,,0.144,23.58906,0,,,,
KOI 880.01,,0.169,26.44288,0,,,,
KOI 880.02,,0.264,51.53005,0,,,,
KOI 880.03,,0.062,5.902209,0,,,,
KOI 880.04,,0.034,2.382961,0,,,,
KOI 881.01,,0.14,21.02236,0,,,,
KOI 881.02,,0.682,226.8897,0,,,,
KOI 882.01,,0.029,1.9568102,0,,,,
KOI 883.01,,0.034,2.68889807,0,,,,
KOI 884.01,,0.08,9.439451,0,,,,
KOI 122.01,,0.102,11.523063,0,,,,
KOI 884.02,,0.134,20.476536,0,,,,
KOI 884.03,,0.04,3.336205,0,,,,
KOI 886.03,,0.119,20.9954,0,,,,
KOI 887.01,,0.074,7.411138,0,,,,
KOI 889.01,,0.077,8.8849176,0,,,,
KOI 890.01,,0.081,8.0988814,0,,,,
KOI 891.01,,0.092,10.006563,0,,,,
KOI 12.01,,0.144,17.855149,0,,,,
KOI 123.01,,0.069,6.481674,0,,,,
KOI 892.01,,0.086,10.371721,0,,,,
KOI 892.02,,0.045,3.970006,0,,,,
KOI 893.01,,0.053,4.408468,0,,,,
KOI 112.02,,0.047,3.709191,0,,,,
KOI 895.01,,0.05,4.4094114,0,,,,
KOI 896.01,,0.122,16.23952,0,,,,
KOI 896.02,,0.065,6.308207,0,,,,
KOI 897.01,,0.031,2.05234974,0,,,,
KOI 898.01,,0.078,9.770513,0,,,,
KOI 898.02,,0.051,5.16982,0,,,,
KOI 123.02,,0.153,21.222534,0,,,,
KOI 898.03,,0.126,20.08976,0,,,,
KOI 899.01,,0.058,7.113726,0,,,,
KOI 899.02,,0.035,3.306562,0,,,,
KOI 899.03,,0.096,15.36829,0,,,,
KOI 900.01,,0.112,13.80994,0,,,,
KOI 901.01,,0.091,12.73262,0,,,,
KOI 746.01,,0.077,9.273827,0,,,,
KOI 747.01,,0.055,6.029272,0,,,,
KOI 749.01,,0.058,5.349569,0,,,,
KOI 749.02,,0.047,3.941046,0,,,,
KOI 749.03,,0.077,8.10938,0,,,,
KOI 113.01,,1.062,386.59,0,,,,
KOI 750.01,,0.136,21.67689,0,,,,
KOI 751.01,,0.053,4.996777,0,,,,
KOI 752.01,,0.085,9.488102,0,,,,
KOI 752.02,,0.274,54.41759,0,,,,
KOI 753.01,,0.143,19.899147,0,,,,
KOI 755.01,,0.036,2.525612,0,,,,
KOI 902.01,,0.321,83.91089,0,,,,
KOI 907.04,,0.414,99.6368,0,,,,
KOI 908.01,,0.052,4.708327,0,,,,
KOI 910.01,,0.056,5.392066,0,,,,
KOI 911.01,,0.051,4.093602,0,,,,
KOI 911.02,,0.443,105.152,0,,,,
KOI 912.01,,0.081,10.848507,0,,,,
KOI 912.02,,0.059,6.668391,0,,,,
KOI 913.01,,0.049,4.08227693,0,,,,
KOI 914.01,,0.048,3.886609,0,,,,
KOI 916.01,,0.041,3.3149523,0,,,,
KOI 756.01,,0.099,11.094329,0,,,,
KOI 756.02,,0.051,4.134403,0,,,,
KOI 756.03,,0.037,2.566575,0,,,,
KOI 757.01,,0.115,16.068618,0,,,,
KOI 757.02,,0.216,41.19274,0,,,,
KOI 757.03,,0.062,6.252948,0,,,,
KOI 758.01,,0.111,16.01285,0,,,,
KOI 759.01,,0.194,32.62501,0,,,,
KOI 759.02,,0.387,91.7743,0,,,,
KOI 760.01,,0.058,4.9593347,0,,,,
KOI 762.01,,0.054,4.49884,0,,,,
KOI 763.01,,0.144,19.651221,0,,,,
KOI 918.01,,0.218,39.643231,0,,,,
KOI 920.01,,0.148,21.80441,0,,,,
KOI 921.01,,0.086,10.281925,0,,,,
KOI 921.02,,0.126,18.11978,0,,,,
KOI 921.03,,0.044,3.784064,0,,,,
KOI 922.01,,0.055,5.154441,0,,,,
KOI 923.01,,0.063,5.743491,0,,,,
KOI 924.01,,0.235,39.47585,0,,,,
KOI 926.01,,0.043,3.1663528,0,,,,
KOI 928.01,,0.035,2.494155,0,,,,
KOI 929.01,,0.069,6.4916717,0,,,,
KOI 115.01,,0.064,5.4122014,0,,,,
KOI 764.01,,0.218,41.43954,0,,,,
KOI 765.01,,0.079,8.353917,0,,,,
KOI 766.01,,0.051,4.125573,0,,,,
KOI 767.01,,0.037,2.81650521,0,,,,
KOI 769.01,,0.05,4.280969,0,,,,
KOI 771.01,,1.502,670.65,0,,,,
KOI 772.01,,0.31,61.25714,0,,,,
KOI 773.01,,0.223,38.37784,0,,,,
KOI 115.02,,0.077,7.125967,0,,,,
KOI 774.01,,0.076,7.4426623,0,,,,
KOI 904.01,,0.029,2.211,0,,,,
KOI 124.01,,0.109,12.69115,0,,,,
KOI 904.04,,0.047,4.618,0,,,,
KOI 904.05,,0.079,10.199,0,,,,
KOI 906.01,,0.066,7.156816,0,,,,
KOI 906.02,,0.121,17.64822,0,,,,
KOI 906.03,,0.046,4.14787,0,,,,
KOI 907.01,,0.125,16.51395,0,,,,
KOI 907.02,,0.187,30.13254,0,,,,
KOI 907.03,,0.055,4.790873,0,,,,
KOI 124.02,,0.2,31.71987,0,,,,
KOI 775.03,,0.179,36.44591,0,,,,
KOI 776.01,,0.045,3.7287325,0,,,,
KOI 777.01,,0.219,40.41943,0,,,,
KOI 778.01,,0.028,2.24338,0,,,,
KOI 780.01,,0.031,2.3374551,0,,,,
KOI 780.02,,0.067,7.24068,0,,,,
KOI 115.03,,0.047,3.43584,0,,,,
KOI 781.01,,0.082,11.598192,0,,,,
KOI 782.01,,0.069,6.575324,0,,,,
KOI 783.01,,0.07,7.275026,0,,,,
KOI 784.01,,0.117,19.27147,0,,,,
KOI 784.02,,0.076,10.065186,0,,,,
KOI 785.01,,0.102,12.39343,0,,,,
KOI 786.01,,0.047,3.689938,0,,,,
KOI 787.01,,0.052,4.431185,0,,,,
KOI 787.02,,0.098,11.379344,0,,,,
KOI 788.01,,0.16,26.39452,0,,,,
KOI 116.01,,0.111,13.571,0,,,,
KOI 790.01,,0.077,8.472396,0,,,,
KOI 790.02,,0.286,60.41916,0,,,,
KOI 791.01,,0.104,12.611904,0,,,,
KOI 794.01,,0.037,2.53917,0,,,,
KOI 795.01,,0.069,6.770278,0,,,,
KOI 797.01,,0.094,10.181582,0,,,,
KOI 116.02,,0.244,43.84445,0,,,,
KOI 800.01,,0.039,2.711482,0,,,,
KOI 800.02,,0.075,7.212031,0,,,,
KOI 801.01,,0.026,1.62552343,0,,,,
KOI 802.01,,0.141,19.620342,0,,,,
KOI 804.01,,0.079,9.029305,0,,,,
KOI 805.01,,0.089,10.3280186,0,,,,
KOI 116.03,,0.066,6.165,0,,,,
KOI 809.01,,0.027,1.59474469,0,,,,
KOI 810.01,,0.05,4.783,0,,,,
KOI 811.01,,0.131,20.505935,0,,,,
KOI 812.01,,0.037,3.340219,0,,,,
KOI 812.02,,0.121,20.06057,0,,,,
KOI 812.03,,0.21,46.18288,0,,,,
KOI 116.04,,0.163,23.98,0,,,,
KOI 812.04,,0.064,7.82496,0,,,,
KOI 813.01,,0.047,3.8959309,0,,,,
KOI 814.01,,0.149,22.36658,0,,,,
KOI 815.01,,0.198,34.84409,0,,,,
KOI 816.01,,0.075,7.748083,0,,,,
KOI 817.01,,0.133,23.96812,0,,,,
KOI 817.02,,0.066,8.29561,0,,,,
KOI 818.01,,0.064,8.114368,0,,,,
KOI 117.01,,0.125,14.749102,0,,,,
KOI 821.01,,0.145,21.81293,0,,,,
KOI 822.01,,0.077,7.9193704,0,,,,
KOI 823.01,,0.021,1.028414,0,,,,
KOI 824.01,,0.109,15.375871,0,,,,
KOI 825.01,,0.07,8.103613,0,,,,
KOI 825.02,,0.049,4.714974,0,,,,
KOI 826.01,,0.067,6.365815,0,,,,
KOI 117.02,,0.06,4.901467,0,,,,
KOI 829.02,,0.091,9.75193,0,,,,
KOI 830.01,,0.042,3.52563247,0,,,,
KOI 833.01,,0.05,3.9514177,0,,,,
KOI 834.01,,0.16,23.653593,0,,,,
KOI 834.02,,0.108,13.2358,0,,,,
KOI 834.03,,0.065,6.155541,0,,,,
KOI 834.04,,0.032,2.090879,0,,,,
KOI 117.03,,0.045,3.179962,0,,,,
KOI 834.05,,0.265,50.4454,0,,,,
KOI 835.01,,0.092,11.763057,0,,,,
KOI 835.02,,0.262,56.22794,0,,,,
KOI 837.01,,0.071,7.953558,0,,,,
KOI 837.02,,0.046,4.144538,0,,,,
KOI 838.01,,0.057,4.8593843,0,,,,
KOI 117.04,,0.083,7.95792,0,,,,
KOI 841.03,,0.068,6.546303,0,,,,
KOI 842.01,,0.093,12.71807,0,,,,
KOI 842.02,,0.187,36.06595,0,,,,
KOI 843.01,,0.051,4.1904091,0,,,,
KOI 844.01,,0.045,3.709884,0,,,,
KOI 845.01,,0.124,16.32986,0,,,,
KOI 846.01,,0.18,27.807543,0,,,,
KOI 847.01,,0.361,80.87159,0,,,,
KOI 118.01,,0.167,24.99334,0,,,,
KOI 849.01,,0.088,10.355459,0,,,,
KOI 850.01,,0.089,10.5262937,0,,,,
KOI 851.01,,0.054,4.5835184,0,,,,
KOI 852.01,,0.045,3.761849,0,,,,
KOI 853.01,,0.071,8.203904,0,,,,
KOI 853.02,,0.104,14.49672,0,,,,
KOI 854.01,,0.231,56.05628,0,,,,
KOI 855.01,,0.228,41.4083,0,,,,
KOI 856.01,,0.234,39.748877,0,,,,
KOI 857.01,,0.058,5.71543,0,,,,
KOI 119.01,,0.252,49.18431,0,,,,
KOI 857.02,,0.133,20.02591,0,,,,
KOI 858.01,,0.108,13.61014,0,,,,
KOI 861.01,,0.031,2.237492,0,,,,
KOI 863.01,,0.042,3.167876,0,,,,
KOI 864.02,,0.14,20.05043,0,,,,
KOI 864.03,,0.087,9.767316,0,,,,
KOI 119.02,,0.622,190.3134,0,,,,
KOI 867.01,,0.114,16.085351,0,,,,
KOI 1212.01,,0.098,11.30118,0,,,,
KOI 1214.01,,0.05,4.241499,0,,,,
KOI 1215.01,,0.139,17.3244,0,,,,
KOI 1215.02,,0.214,33.0059,0,,,,
KOI 1216.01,,0.099,11.13127,0,,,,
KOI 1218.01,,0.185,29.61981,0,,,,
KOI 1219.01,,0.041,3.50376,0,,,,
KOI 153.01,,0.076,8.925113,0,,,,
KOI 1220.01,,0.069,6.400954,0,,,,
KOI 1221.01,,0.195,30.16012,0,,,,
KOI 1221.02,,0.276,51.0802,0,,,,
KOI 1222.01,,0.057,4.28553,0,,,,
KOI 167.01,,0.06,4.919576,0,,,,
KOI 1405.01,,0.102,11.41904,0,,,,
KOI 1406.01,,0.103,11.361168,0,,,,
KOI 1407.01,,0.024,1.386618,0,,,,
KOI 1408.01,,0.097,14.53398,0,,,,
KOI 1409.01,,0.126,16.56062,0,,,,
KOI 1410.01,,0.127,15.74954,0,,,,
KOI 1412.01,,0.227,37.81266,0,,,,
KOI 1413.01,,0.102,12.64481,0,,,,
KOI 1413.02,,0.145,21.52651,0,,,,
KOI 1413.03,,0.197,33.88489,0,,,,
KOI 1589.03,,0.179,27.43473,0,,,,
KOI 1589.04,,0.051,4.224488,0,,,,
KOI 1589.05,,0.247,44.55208,0,,,,
KOI 1590.01,,0.096,13,0,,,,
KOI 1590.02,,0.031,2.355788,0,,,,
KOI 1590.03,,0.05,4.746676,0,,,,
KOI 1591.01,,0.135,19.65667,0,,,,
KOI 1593.01,,0.089,9.69,0,,,,
KOI 1593.02,,0.121,15.38219,0,,,,
KOI 1595.01,,0.231,40.10999,0,,,,
KOI 1596.01,,0.056,5.923589,0,,,,
KOI 1596.02,,0.381,105.3531,0,,,,
KOI 1022.01,,0.135,18.82729,0,,,,
KOI 1024.01,,0.053,5.747719,0,,,,
KOI 1029.01,,0.2,32.31153,0,,,,
KOI 1030.01,,0.091,9.22969,0,,,,
KOI 1031.01,,0.117,14.55916,0,,,,
KOI 1032.01,,1.571,650,0,,,,
KOI 138.01,,0.297,48.937964,0,,,,
KOI 1226.01,,0.478,137.759611,0,,,,
KOI 1227.01,,0.032,2.1552777,0,,,,
KOI 153.02,,0.05,4.753994,0,,,,
KOI 1230.01,,0.672,165.72106,0,,,,
KOI 1236.01,,0.232,35.74113,0,,,,
KOI 1236.02,,0.114,12.309717,0,,,,
KOI 1236.03,,0.307,54.3995,0,,,,
KOI 1420.01,,0.102,13.351585,0,,,,
KOI 1421.01,,1.193,485,0,,,,
KOI 1422.01,,0.051,5.841649,0,,,,
KOI 1422.02,,0.115,19.85025,0,,,,
KOI 168.02,,0.128,15.27448,0,,,,
KOI 1422.03,,0.037,3.62147,0,,,,
KOI 1423.01,,0.471,124.41949,0,,,,
KOI 1424.01,,0.02,1.2195847,0,,,,
KOI 1425.01,,0.032,2.053899,0,,,,
KOI 1426.01,,0.23,38.87303,0,,,,
KOI 1426.02,,0.355,74.91699,0,,,,
KOI 186.01,,0.044,3.2432603,0,,,,
KOI 1597.01,,0.086,7.796734,0,,,,
KOI 1598.01,,0.285,56.4744,0,,,,
KOI 1598.02,,0.397,92.8756,0,,,,
KOI 1598.03,,0.112,13.93078,0,,,,
KOI 1599.01,,0.143,20.41741,0,,,,
KOI 1601.01,,0.092,10.35113,0,,,,
KOI 1601.02,,0.305,62.9147,0,,,,
KOI 1602.01,,0.09,9.97741,0,,,,
KOI 1603.01,,0.042,3.021542,0,,,,
KOI 187.01,,0.194,30.882549,0,,,,
KOI 139.01,,0.763,224.79712,0,,,,
KOI 1050.01,,0.021,1.269095,0,,,,
KOI 1050.02,,0.036,2.853135,0,,,,
KOI 1051.01,,0.071,6.796859,0,,,,
KOI 1052.01,,0.136,17.03,0,,,,
KOI 1052.02,,0.074,6.84611,0,,,,
KOI 1052.03,,0.341,67.83,0,,,,
KOI 1238.01,,0.17,27.07259,0,,,,
KOI 1239.01,,0.017,0.7832832,0,,,,
KOI 1239.02,,0.043,3.174067,0,,,,
KOI 1240.01,,0.032,2.139564,0,,,,
KOI 1240.02,,0.055,4.807078,0,,,,
KOI 1242.01,,0.445,99.64357,0,,,,
KOI 155.01,,0.061,5.660691,0,,,,
KOI 1245.01,,0.118,13.7199,0,,,,
KOI 1246.01,,0.145,19.03707,0,,,,
KOI 1426.03,,0.565,150.02701,0,,,,
KOI 1427.01,,0.031,2.613004,0,,,,
KOI 1428.01,,0.017,0.9278551,0,,,,
KOI 1429.01,,0.678,205.9172,0,,,,
KOI 1430.01,,0.082,10.475426,0,,,,
KOI 1430.02,,0.138,22.92927,0,,,,
KOI 1430.03,,0.31,77.4814,0,,,,
KOI 1431.01,,0.983,345.1613,0,,,,
KOI 1432.01,,0.071,6.89,0,,,,
KOI 1432.02,,0.119,15.05,0,,,,
KOI 1432.03,,0.04,2.92716,0,,,,
KOI 1432.04,,0.223,38.28,0,,,,
KOI 1433.01,,0.142,19.80762,0,,,,
KOI 1434.01,,0.03,2.343248,0,,,,
KOI 1606.01,,0.058,5.082709,0,,,,
KOI 1608.01,,0.089,9.17608,0,,,,
KOI 1608.02,,0.148,19.73805,0,,,,
KOI 1609.01,,0.245,41.69831,0,,,,
KOI 1612.01,,0.036,2.465031,0,,,,
KOI 1613.01,,0.124,15.86621,0,,,,
KOI 188.01,,0.044,3.79701711,0,,,,
KOI 1615.01,,0.025,1.340638,0,,,,
KOI 1616.01,,0.12,13.93281,0,,,,
KOI 1618.01,,0.037,2.36432,0,,,,
KOI 1619.01,,0.129,20.66589,0,,,,
KOI 1621.01,,0.155,20.31035,0,,,,
KOI 1622.01,,0.397,69.83732,0,,,,
KOI 1626.01,,0.037,2.534773,0,,,,
KOI 1627.01,,0.091,10.29678,0,,,,
KOI 1627.02,,0.063,5.93917,0,,,,
KOI 1052.04,,0.252,43.13,0,,,,
KOI 1053.01,,0.022,1.224862,0,,,,
KOI 139.02,,0.046,3.34184,0,,,,
KOI 1054.01,,0.062,3.32303,0,,,,
KOI 1059.01,,0.019,1.022693,0,,,,
KOI 1060.01,,0.112,12.10995,0,,,,
KOI 1060.02,,0.06,4.757896,0,,,,
KOI 1060.04,,0.086,8.1938,0,,,,
KOI 1061.01,,0.234,41.81287,0,,,,
KOI 156.01,,0.07,8.041317,0,,,,
KOI 1255.01,,0.356,78.92509,0,,,,
KOI 1257.01,,0.355,86.64774,0,,,,
KOI 1258.01,,0.211,36.33767,0,,,,
KOI 1258.02,,0.115,14.64613,0,,,,
KOI 1258.03,,0.538,148.2682,0,,,,
KOI 1261.01,,0.516,133.461,0,,,,
KOI 156.02,,0.052,5.188548,0,,,,
KOI 1435.01,,0.234,40.71524,0,,,,
KOI 1435.02,,0.095,10.446362,0,,,,
KOI 1436.01,,0.036,2.508567,0,,,,
KOI 1436.02,,0.111,13.75135,0,,,,
KOI 1436.03,,0.06,5.419115,0,,,,
KOI 1437.01,,0.073,7.01773,0,,,,
KOI 1438.01,,0.07,6.911301,0,,,,
KOI 1439.01,,1.129,394.6107,0,,,,
KOI 1440.01,,0.075,7.19294,0,,,,
KOI 1441.01,,0.08,8.50691,0,,,,
KOI 1442.01,,0.015,0.6693356,0,,,,
KOI 1444.01,,0.261,44.93128,0,,,,
KOI 1445.01,,0.078,7.168879,0,,,,
KOI 1628.01,,0.153,19.747469,0,,,,
KOI 189.01,,0.17,30.360447,0,,,,
KOI 1629.01,,0.055,4.409673,0,,,,
KOI 1630.01,,0.097,11.30488,0,,,,
KOI 1632.01,,0.057,4.59492,0,,,,
KOI 1633.01,,0.188,32.29861,0,,,,
KOI 1637.01,,0.038,2.970439,0,,,,
KOI 1639.02,,0.094,9.98226,0,,,,
KOI 1641.01,,0.057,4.85382,0,,,,
KOI 1643.01,,0.098,11.04564,0,,,,
KOI 1646.01,,0.042,3.720226,0,,,,
KOI 190.01,,0.101,12.2648616,0,,,,
KOI 1647.01,,0.117,14.97015,0,,,,
KOI 1647.02,,0.196,32.2757,0,,,,
KOI 1647.03,,0.066,6.33091,0,,,,
KOI 1648.01,,0.211,38.32527,0,,,,
KOI 1649.01,,0.04,4.043539,0,,,,
KOI 1650.01,,0.068,6.53243,0,,,,
KOI 1651.01,,0.274,51.3002,0,,,,
KOI 1066.01,,0.063,5.7148112,0,,,,
KOI 1067.01,,0.653,185.02311,0,,,,
KOI 1069.01,,0.083,8.704142,0,,,,
KOI 1069.02,,0.036,2.466961,0,,,,
KOI 141.01,,0.037,2.6242336,0,,,,
KOI 1070.01,,0.07,6.6184,0,,,,
KOI 1070.02,,0.452,107.7143,0,,,,
KOI 1070.03,,0.409,92.7557,0,,,,
KOI 1072.01,,0.094,10.12824,0,,,,
KOI 1074.01,,0.049,3.7705565,0,,,,
KOI 142.01,,0.098,10.916384,0,,,,
KOI 1261.02,,0.121,15.19471,0,,,,
KOI 1264.01,,0.111,14.13179,0,,,,
KOI 1266.01,,0.085,11.419267,0,,,,
KOI 1268.01,,0.849,268.9424,0,,,,
KOI 156.03,,0.09,11.776147,0,,,,
KOI 1271.01,,0.628,161.85932,0,,,,
KOI 1273.01,,0.224,40.05488,0,,,,
KOI 1274.01,,0.923,362,0,,,,
KOI 1275.01,,0.256,50.28578,0,,,,
KOI 1276.01,,0.153,22.78983,0,,,,
KOI 1445.02,,0.299,54.3443,0,,,,
KOI 1445.03,,0.154,20.0196,0,,,,
KOI 171.01,,0.069,5.968741,0,,,,
KOI 1452.01,,0.025,1.1522169,0,,,,
KOI 1456.01,,0.08,7.886632,0,,,,
KOI 1457.01,,0.078,8.0276729,0,,,,
KOI 1458.01,,0.084,8.981345,0,,,,
KOI 171.02,,0.116,13.07162,0,,,,
KOI 1687.01,,0.043,3.932449,0,,,,
KOI 1688.01,,0.018,0.921056,0,,,,
KOI 1692.01,,0.065,5.9604,0,,,,
KOI 191.03,,0.015,0.7085982,0,,,,
KOI 1692.02,,0.036,2.461098,0,,,,
KOI 1693.01,,0.043,3.403746,0,,,,
KOI 1700.01,,0.076,8.037617,0,,,,
KOI 1701.01,,0.041,2.439006,0,,,,
KOI 1702.01,,0.021,1.5381625,0,,,,
KOI 1704.01,,0.089,10.418751,0,,,,
KOI 1705.01,,0.152,20.49941,0,,,,
KOI 1706.01,,0.028,1.9214304,0,,,,
KOI 1707.01,,0.403,96.1009,0,,,,
KOI 1708.01,,0.201,32.77373,0,,,,
KOI 191.04,,0.218,38.65154,0,,,,
KOI 1710.01,,0.11,14.20437,0,,,,
KOI 1711.01,,0.257,55.67454,0,,,,
KOI 1713.01,,0.059,6.827818,0,,,,
KOI 1713.02,,0.028,2.240507,0,,,,
KOI 1078.01,,0.036,3.353707,0,,,,
KOI 1078.02,,0.058,6.877458,0,,,,
KOI 1078.03,,0.15,28.46381,0,,,,
KOI 1081.01,,0.093,9.955121,0,,,,
KOI 1082.01,,0.064,6.50323,0,,,,
KOI 1082.02,,0.047,4.1,0,,,,
KOI 1082.03,,0.021,1.2,0,,,,
KOI 1083.01,,0.073,7.33674,0,,,,
KOI 1085.01,,0.063,7.71797,0,,,,
KOI 1086.01,,0.181,27.66556,0,,,,
KOI 1276.02,,0.107,13.26107,0,,,,
KOI 1278.01,,0.171,24.80446,0,,,,
KOI 1278.02,,0.252,44.34713,0,,,,
KOI 1278.03,,0.088,9.22123,0,,,,
KOI 1278.04,,0.115,13.63894,0,,,,
KOI 1279.01,,0.115,14.37438,0,,,,
KOI 1279.02,,0.088,9.6519,0,,,,
KOI 1281.01,,0.261,49.47779,0,,,,
KOI 1282.01,,0.2,30.86392,0,,,,
KOI 1283.01,,0.078,8.09214,0,,,,
KOI 1459.01,,0.013,0.6920069,0,,,,
KOI 1463.01,,1.382,580,0,,,,
KOI 1465.01,,0.089,9.771455,0,,,,
KOI 1466.01,,0.744,281.5635,0,,,,
KOI 1470.01,,0.122,15.4341,0,,,,
KOI 1472.01,,0.371,85.35172,0,,,,
KOI 1473.01,,0.158,23.02027,0,,,,
KOI 1474.01,,0.363,69.73297,0,,,,
KOI 1475.01,,0.022,1.6093059,0,,,,
KOI 1746.01,,0.102,11.79174,0,,,,
KOI 1747.01,,0.143,20.55873,0,,,,
KOI 1749.01,,0.173,26.96447,0,,,,
KOI 1750.01,,0.075,7.76855,0,,,,
KOI 1751.01,,0.076,8.689298,0,,,,
KOI 1751.02,,0.136,20.99433,0,,,,
KOI 1754.01,,0.116,15.1358,0,,,,
KOI 1758.01,,0.06,5.597163,0,,,,
KOI 1760.01,,0.057,5.524233,0,,,,
KOI 1760.02,,0.078,8.77514,0,,,,
KOI 1761.01,,0.096,10.12748,0,,,,
KOI 1762.01,,0.018,0.870697,0,,,,
KOI 1773.01,,0.351,83.09699,0,,,,
KOI 22.01,,0.081,7.8914502,0,,,,
KOI 195.01,,0.042,3.21752044,0,,,,
KOI 1089.01,,0.393,86.67831,0,,,,
KOI 1089.02,,0.106,12.218255,0,,,,
KOI 144.01,,0.048,4.1762599,0,,,,
KOI 1094.01,,0.066,6.100295,0,,,,
KOI 1095.01,,0.266,51.59845,0,,,,
KOI 1096.01,,1.062,414,0,,,,
KOI 1099.01,,0.581,161.5266,0,,,,
KOI 1101.01,,0.036,2.84796,0,,,,
KOI 1288.01,,0.495,117.93119,0,,,,
KOI 1298.01,,0.082,11.008121,0,,,,
KOI 1298.02,,0.337,92.7388,0,,,,
KOI 1299.01,,0.303,52.50128,0,,,,
KOI 1475.02,,0.074,9.512123,0,,,,
KOI 1475.03,,0.046,4.729344,0,,,,
KOI 1476.01,,0.273,56.36391,0,,,,
KOI 1477.01,,0.916,339.0781,0,,,,
KOI 1478.01,,0.342,76.13354,0,,,,
KOI 1480.01,,0.135,20.38164,0,,,,
KOI 1480.02,,0.066,7.00433,0,,,,
KOI 1481.01,,0.059,5.10137,0,,,,
KOI 1484.01,,0.042,3.470194,0,,,,
KOI 1486.01,,0.499,127.28144,0,,,,
KOI 173.01,,0.091,10.060791,0,,,,
KOI 1655.01,,0.019,0.9384704,0,,,,
KOI 1656.01,,0.274,51.39,0,,,,
KOI 191.01,,0.118,15.3587794,0,,,,
KOI 1659.01,,0.2,29.53838,0,,,,
KOI 1660.01,,0.213,35.638,0,,,,
KOI 1662.01,,0.016,0.7840262,0,,,,
KOI 1665.01,,0.073,6.9338,0,,,,
KOI 1665.02,,0.065,5.91461,0,,,,
KOI 1669.01,,0.319,61.039,0,,,,
KOI 1672.01,,0.176,33.86736,0,,,,
KOI 1675.01,,0.116,14.6243,0,,,,
