NAME,A,ECC,PER,MSINI,MASS,FE,MSTAR,DATE,R,GRAVITY,DENSITY,DIST,DEC
KOI 2552.01,0.048,0,3.656953,,1.50626453652539,,,,0.10884129692870324,,,,
KOI 2551.01,0.113,0,16.48002,,2.9834913156662846,,,,0.15166410227770125,,,,
KOI 2550.01,0.136,0,18.02447,,3.6307279580728875,,,,0.16683051250547137,,,,
KOI 2548.01,0.016,0,0.827166,,0.7888657482599654,,,,0.08296918536368363,,,,
KOI 2547.01,0.086,0,8.94326,,2.5325223335620914,,,,0.1400662591623476,,,,
KOI 2545.01,0.075,0,6.98158,,0.44398467786198437,,,,0.06958705869212174,,,,
KOI 2544.01,0.18,0,28.62525,,5.561082553887674,,,,0.20519260896394872,,,,
KOI 2543.01,0.021,0,1.301993,,1.8840401396638213,,,,0.121331281822161,,,,
KOI 2542.01,0.013,0,0.727315,,1.0416368938737524,,,,0.09099846136662075,,,,
KOI 2541.01,0.078,0,7.41682,,4.886239243271286,,,,0.192702624070491,,,,
KOI 2248.03,0.015,0,0.761948,,1.1057321980362427,,,,0.09367488670093312,,,,
KOI 2248.02,0.083,0,9.49096,,2.499405220575938,,,,0.13917411738424348,,,,
KOI 2248.01,0.037,0,2.818125,,2.1498991332065183,,,,0.12936055782509812,,,,
KOI 2247.01,0.046,0,4.457356,,0.6832944053723663,,,,0.07940061825126712,,,,
KOI 2246.01,0.104,0,11.89534,,2.2425345030749844,,,,0.13203698315941048,,,,
KOI 2245.01,0.201,0,33.47025,,7.158880233386855,,,,0.2319568623070725,,,,
KOI 2243.01,0.06,0,5.185458,,2.599429696425685,,,,0.14185054271855588,,,,
KOI 2242.01,0.028,0,1.755846,,2.337181884446068,,,,0.13471340849372287,,,,
KOI 2241.01,0.074,0,7.165187,,8.33960621970835,,,,0.24979969786915496,,,,
KOI 2238.01,0.022,0,1.646819,,1.1495571897780137,,,,0.09545917025714137,,,,
KOI 232.05,0.294,0,56.25696,,3.3180065866635373,,,,0.15969337828063837,,,,
KOI 2237.01,0.36,0,76.4241,,8.964784942519199,,,,0.25872111565019623,,,,
KOI 2236.02,0.103,0,12.12665,,3.356304540927983,,,,0.1605855200587425,,,,
KOI 2236.01,0.143,0,19.98795,,5.561082553887674,,,,0.20519260896394872,,,,
KOI 2233.01,0.028,0,1.811434,,2.7359393456497925,,,,0.14541910983097237,,,,
KOI 2232.01,0.415,0,101.1337,,13.206269977356252,,,,0.3122496223364437,,,,
KOI 2229.01,0.116,0,14.8322,,8.964784942519199,,,,0.25872111565019623,,,,
KOI 2228.01,0.477,0,102.6565,,4.61075182844951,,,,0.18734977340186623,,,,
KOI 2227.01,0.312,0,65.6462,,5.511389361966987,,,,0.2043004671858446,,,,
KOI 2226.01,0.081,0,8.46354,,7.158880233386855,,,,0.2319568623070725,,,,
KOI 1940.01,0.082,0,10.994615,,4.256217578546797,,,,0.18021263917703323,,,,
KOI 1939.01,0.106,0,13.474881,,5.07447038755808,,,,0.1962711911829075,,,,
KOI 1938.01,0.389,0,96.91492,,5.561082553887674,,,,0.20519260896394872,,,,
KOI 1937.01,0.021,0,1.4112265,,1.716814235608721,,,,0.11597843115353625,,,,
KOI 1935.01,0.122,0,15.44427,,439.06293522785023,,,,0.963513120352455,,,,
KOI 1934.01,0.161,0,28.78281,,3.1670752348500812,,,,0.15612481116822186,,,,
KOI 1933.01,0.259,0,49.10146,,7.158880233386855,,,,0.2319568623070725,,,,
KOI 1932.01,0.201,0,22.82485,,29.85155011707237,,,,0.463913724614145,,,,
KOI 1931.03,0.07,0,6.98825,,1.5318086921300353,,,,0.10973343870680737,,,,
KOI 1931.02,0.092,0,10.55803,,1.9126890357781567,,,,0.12222342360026513,,,,
KOI 1931.01,0.056,0,4.977671,,2.565863797017356,,,,0.14095840094045176,,,,
KOI 1930.04,0.09,0,9.34131,,1.8840401396638213,,,,0.121331281822161,,,,
KOI 1930.03,0.254,0,44.4315,,6.387432454817522,,,,0.21946687741361473,,,,
KOI 1930.02,0.17,0,24.31058,,4.793496041889274,,,,0.19091834051428275,,,,
KOI 1930.01,0.116,0,13.72686,,5.122100362548526,,,,0.1971633329610116,,,,
KOI 1929.02,0.044,0,3.292743,,2.089258785943566,,,,0.12757627426888987,,,,
KOI 1929.01,0.09,0,9.69303,,4.169863043366393,,,,0.17842835562082499,,,,
KOI 1928.01,0.313,0,63.03814,,8.33960621970835,,,,0.24979969786915496,,,,
KOI 209.02,0.146,0,18.795909,,36.589670481171076,,,,0.5120893806317677,,,,
KOI 2754.01,0.023,0,1.34156,,0.4256519795014262,,,,0.06869491691401762,,,,
KOI 2753.01,0.019,0,0.93512,,1.3336367396375375,,,,0.10259630448197436,,,,
KOI 2751.01,0.142,0,24.40012,,4.565636687812121,,,,0.1864576316237621,,,,
KOI 2750.01,0.623,0,174.6336,,15.644230603267582,,,,0.3390138756795675,,,,
KOI 2748.02,0.062,0,5.777138,,1.455839058610136,,,,0.10705701337249499,,,,
KOI 2748.01,0.156,0,23.19822,,2.3054090499081146,,,,0.13382126671561873,,,,
KOI 2747.01,0.06,0,6.264,,1.999971253967007,,,,0.12489984893457748,,,,
KOI 2745.01,0.122,0,15.64592,,5.07447038755808,,,,0.1962711911829075,,,,
KOI 2744.01,0.44,0,109.6469,,7.158880233386855,,,,0.2319568623070725,,,,
KOI 249.01,0.07,0,9.549273,,3.916260422138804,,,,0.17307550495220023,,,,
KOI 2538.01,0.213,0,39.83101,,11.698729954961784,,,,0.2944067867743612,,,,
KOI 2536.01,0.272,0,51.1295,,7.737654862899534,,,,0.24087828008811374,,,,
KOI 2535.01,0.234,0,48.89276,,2.6332201167639564,,,,0.14274268449666,,,,
KOI 2534.02,0.062,0,5.42213,,1.2398391228567738,,,,0.09902773736955787,,,,
KOI 2534.01,0.042,0,3.025534,,1.3336367396375375,,,,0.10259630448197436,,,,
KOI 2533.01,0.072,0,6.0331,,10.422177459671861,,,,0.27834823476848697,,,,
KOI 2532.01,0.072,0,7.971054,,2.7359393456497925,,,,0.14541910983097237,,,,
KOI 2531.01,0.122,0,17.69931,,4.61075182844951,,,,0.18734977340186623,,,,
KOI 2530.01,0.222,0,37.3308,,2.667235142508138,,,,0.14363482627476412,,,,
KOI 248.04,0.113,0,18.59622,,4.042038314638378,,,,0.17575193028651262,,,,
KOI 2529.01,0.111,0,16.79702,,3.2420889703037328,,,,0.15790909472443013,,,,
KOI 2528.01,0.104,0,12.02298,,32.26496105511427,,,,0.4817565601762275,,,,
KOI 2527.01,0.021,0,1.3858,,0.15929619810558662,,,,0.05085208135193511,,,,
KOI 2525.01,0.257,0,57.2937,,3.5511887852878017,,,,0.16504622894926313,,,,
KOI 2524.01,0.244,0,40.989,,3.7111739973176237,,,,0.1686147960616796,,,,
KOI 2523.01,0.108,0,13.03106,,3.6307279580728875,,,,0.16683051250547137,,,,
KOI 2522.01,0.055,0,5.604018,,1.0000000000004574,,,,0.08921417781041249,,,,
KOI 232.04,0.226,0,37.99441,,3.5511887852878017,,,,0.16504622894926313,,,,
KOI 2225.01,0.034,0,2.787876,,1.2629586353617848,,,,0.099919879147662,,,,
KOI 2224.02,0.379,0,86.1241,,4.3434831883691345,,,,0.1819969227332415,,,,
KOI 2224.01,0.047,0,3.730927,,1.9706544961357595,,,,0.12400770715647336,,,,
KOI 2223.01,0.019,0,1.1044547,,2.433843701501933,,,,0.13738983382803524,,,,
KOI 2222.01,0.249,0,34.1323,,20.4722259648906,,,,0.3862973899190861,,,,
KOI 2221.01,0.096,0,10.62879,,4.886239243271286,,,,0.192702624070491,,,,
KOI 2220.03,0.03,0,1.897809,,1.5835603779652005,,,,0.11151772226301562,,,,
KOI 2220.02,0.058,0,5.02833,,2.2425345030749844,,,,0.13203698315941048,,,,
KOI 2220.01,0.044,0,3.282818,,1.7441300674389388,,,,0.11687057293164037,,,,
KOI 2219.01,0.043,0,3.757307,,1.171798496127294,,,,0.0963513120352455,,,,
KOI 232.03,0.155,0,21.58738,,3.433579119617212,,,,0.16236980361495074,,,,
KOI 2218.02,0.127,0,16.72617,,2.089258785943566,,,,0.12757627426888987,,,,
KOI 2218.01,0.061,0,5.535301,,2.2114326106572277,,,,0.13114484138130636,,,,
KOI 2217.01,0.208,0,37.80223,,3.7517372730412064,,,,0.16950693783978374,,,,
KOI 2216.01,0.152,0,23.34034,,6.07064948758495,,,,0.21411402674498997,,,,
KOI 2215.01,0.148,0,22.0406,,0.5022632866945143,,,,0.07226348402643412,,,,
KOI 2214.01,0.03,0,2.352237,,1.2862979976310545,,,,0.1008120209257661,,,,
KOI 2213.01,0.045,0,3.970805,,2.6332201167639564,,,,0.14274268449666,,,,
KOI 2212.01,0.132,0,17.14624,,3.433579119617212,,,,0.16236980361495074,,,,
KOI 2210.01,0.036,0,2.88887,,2.089258785943566,,,,0.12757627426888987,,,,
KOI 2209.01,0.134,0,18.30216,,1.3576363510496636,,,,0.10348844626007848,,,,
KOI 1020.01,0.288,0,54.356319,,,,,,5.263636490814337,,,,
KOI 1019.01,0.039,0,2.497052,,4.4316604115714675,,,,0.18378120628944974,,,,
KOI 1017.01,0.125,0,17.44487,,12.440750177395726,,,,0.3033282045554025,,,,
KOI 1015.02,0.052,0,4.08902,,1.7441300674389388,,,,0.11687057293164037,,,,
KOI 1015.01,0.091,0,9.4288,,6.494869996356761,,,,0.22125116096982297,,,,
KOI 1014.01,0.117,0,17.31729,,7.796806196665729,,,,0.24177042186621786,,,,
KOI 1013.01,0.012,0,0.5187486,,7.158880233386855,,,,0.2319568623070725,,,,
KOI 1010.01,0.489,0,110.62417,,410.84581366374294,,,,0.9545917025714136,,,,
KOI 1007.01,0.076,0,7.40758,,4.747467311306212,,,,0.1900261987361786,,,,
KOI 1589.02,0.108,0,12.882525,,6.07064948758495,,,,0.21411402674498997,,,,
KOI 1589.01,0.083,0,8.725854,,5.07447038755808,,,,0.1962711911829075,,,,
KOI 1588.01,0.038,0,3.517482,,1.557573936796813,,,,0.11062558048491149,,,,
KOI 1587.01,0.254,0,52.97116,,,,,,1.605855200587425,,,,
KOI 1586.01,0.064,0,6.991307,,2.4665123720615787,,,,0.13828197560613936,,,,
KOI 1585.01,0.139,0,19.17903,,6.07064948758495,,,,0.21411402674498997,,,,
KOI 1584.01,0.053,0,5.870719,,1.9126890357781567,,,,0.12222342360026513,,,,
KOI 1583.01,0.078,0,8.04732,,4.932953841674875,,,,0.1935947658485951,,,,
KOI 1582.01,0.622,0,186.3986,,69.83125696002497,,,,0.6244992446728874,,,,
KOI 1581.02,0.519,0,144.5431,,8.964784942519199,,,,0.25872111565019623,,,,
KOI 1581.01,0.18,0,29.53941,,5.561082553887674,,,,0.20519260896394872,,,,
KOI 1404.01,0.096,0,13.32411,,3.792527482073455,,,,0.17039907961788786,,,,
KOI 1403.01,0.117,0,18.75444,,3.7111739973176237,,,,0.1686147960616796,,,,
KOI 1402.01,0.073,0,7.13968,,5.314910887395804,,,,0.20073190007342812,,,,
KOI 1399.01,0.077,0,8.75061,,6.07064948758495,,,,0.21411402674498997,,,,
KOI 1398.01,0.064,0,5.823445,,11.698729954961784,,,,0.2944067867743612,,,,
KOI 1397.01,0.059,0,6.247069,,13.206269977356252,,,,0.3122496223364437,,,,
KOI 1396.02,0.047,0,3.701311,,3.1299071301926937,,,,0.15523266939011773,,,,
KOI 1396.01,0.069,0,6.626389,,7.737654862899534,,,,0.24087828008811374,,,,
KOI 166.01,0.098,0,12.493311,,6.603229897013386,,,,0.22303544452603125,,,,
KOI 1395.01,0.063,0,6.230227,,10.980167249937935,,,,0.28548536899332,,,,
KOI 1393.01,0.022,0,1.6947354,,5.561082553887674,,,,0.20519260896394872,,,,
KOI 1391.01,0.081,0,7.9811836,,156.0530860826696,,,,0.78508476473163,,,,
KOI 152.04,0.387,0,81.0669,,439.06293522785023,,,,0.963513120352455,,,,
KOI 1210.01,0.122,0,14.55426,,4.793496041889274,,,,0.19091834051428275,,,,
KOI 1209.01,0.8,0,272.07,,91.66094463101747,,,,0.678027751359135,,,,
KOI 1208.01,0.909,0,288.8824,,57.88165220328285,,,,0.5888135735487224,,,,
KOI 1207.01,0.103,0,13.73468,,7.158880233386855,,,,0.2319568623070725,,,,
KOI 1206.01,2.592,0,1548,,47.63014219094093,,,,0.5531279024245574,,,,
KOI 1205.01,0.085,0,8.63845,,5.314910887395804,,,,0.20073190007342812,,,,
KOI 1204.01,0.084,0,8.39811,,4.299736465339653,,,,0.18110478095513735,,,,
KOI 1203.03,0.265,0,48.6541,,8.33960621970835,,,,0.24979969786915496,,,,
KOI 1203.02,0.116,0,14.12843,,6.07064948758495,,,,0.21411402674498997,,,,
KOI 1203.01,0.2,0,31.88293,,8.964784942519199,,,,0.25872111565019623,,,,
KOI 152.03,0.117,0,13.484697,,11.698729954961784,,,,0.2944067867743612,,,,
KOI 1202.01,0.016,0,0.9282974,,1.3818562756083907,,,,0.1043805880381826,,,,
KOI 1005.01,0.193,0,35.61758,,25.313776947500035,,,,0.42822805348997994,,,,
KOI 1002.01,0.045,0,3.481538,,1.8840401396638213,,,,0.121331281822161,,,,
KOI 1001.02,0.586,0,140.0914,,15.139638332878338,,,,0.33366102501094275,,,,
KOI 1001.01,0.258,0,40.80686,,25.313776947500035,,,,0.42822805348997994,,,,
KOI 999.02,0.238,0,47.33465,,8.901220430652069,,,,0.25782897387209214,,,,
KOI 999.01,0.118,0,16.56806,,7.503366698515551,,,,0.23730971297569725,,,,
KOI 998.01,0.592,0,161.78811,,,,,,2.4979969786915497,,,,
KOI 994.01,0.049,0,4.298863,,1.6628479427786154,,,,0.11419414759732799,,,,
KOI 1577.01,0.033,0,2.806242,,2.1805541845358447,,,,0.13025269960320224,,,,
KOI 1576.03,0.152,0,23.34032,,2.7359393456497925,,,,0.14541910983097237,,,,
KOI 183.01,0.038,0,2.68432897,,605.988772524798,,,,1.106255804849115,,,,
KOI 1576.02,0.103,0,13.084143,,8.33960621970835,,,,0.24979969786915496,,,,
KOI 1576.01,0.089,0,10.415808,,10.980167249937935,,,,0.28548536899332,,,,
KOI 1574.03,0.062,0,5.83343,,0.44398467786198437,,,,0.06958705869212174,,,,
KOI 1574.02,1.332,0,573.96,,10.980167249937935,,,,0.28548536899332,,,,
KOI 1574.01,0.455,0,114.73653,,47.63014219094093,,,,0.5531279024245574,,,,
KOI 1573.02,0.074,0,7.136813,,2.701474857639347,,,,0.14452696805286824,,,,
KOI 1573.01,0.17,0,24.811944,,37.38192542352123,,,,0.5174422313003925,,,,
KOI 1572.01,0.092,0,9.80314,,6.387432454817522,,,,0.21946687741361473,,,,
KOI 1570.01,0.069,0,6.338518,,8.649289062142836,,,,0.2542604067596756,,,,
KOI 1387.01,0.161,0,23.799932,,,,,,4.193066357089387,,,,
KOI 165.01,0.102,0,13.22178,,7.975651323739789,,,,0.24444684720053025,,,,
KOI 1385.01,0.141,0,18.6100931,,,,,,5.7097073798663995,,,,
KOI 1379.01,0.062,0,5.621546,,1.3336367396375375,,,,0.10259630448197436,,,,
KOI 1378.01,0.13,0,19.30125,,1.455839058610136,,,,0.10705701337249499,,,,
KOI 1377.01,0.102,0,11.29714,,3.433579119617212,,,,0.16236980361495074,,,,
KOI 1201.01,0.031,0,2.757567,,1.4809413617191411,,,,0.10794915515059911,,,,
KOI 1199.01,0.254,0,53.52939,,5.363686483075472,,,,0.2016240418515322,,,,
KOI 1198.04,0.021,0,1.008617,,2.1498991332065183,,,,0.12936055782509812,,,,
KOI 1198.03,0.225,0,35.6756,,8.33960621970835,,,,0.24979969786915496,,,,
KOI 1198.02,0.098,0,10.30109,,3.7111739973176237,,,,0.1686147960616796,,,,
KOI 1198.01,0.133,0,16.08821,,8.586887646595644,,,,0.25336826498157144,,,,
KOI 152.02,0.188,0,27.40177,,13.206269977356252,,,,0.3122496223364437,,,,
KOI 1194.03,0.044,0,4.176366,,1.3336367396375375,,,,0.10259630448197436,,,,
KOI 1194.02,0.102,0,14.86297,,2.273859952710153,,,,0.1329291249375146,,,,
KOI 1194.01,0.072,0,8.70778,,3.7517372730412064,,,,0.16950693783978374,,,,
KOI 1193.01,0.46,0,119.06285,,306.1782535175444,,,,0.9099846136662073,,,,
KOI 1192.01,63.897,0,201292,,,,,,3.21171040117485,,,,
KOI 1191.01,0.08,0,8.17248,,9.61323999704988,,,,0.26764253343123745,,,,
KOI 993.02,0.108,0,13.06062,,1.716814235608721,,,,0.11597843115353625,,,,
KOI 993.01,0.152,0,21.85347,,2.947451119587408,,,,0.1507719604995971,,,,
KOI 992.01,0.09,0,9.93161,,3.5511887852878017,,,,0.16504622894926313,,,,
KOI 991.01,0.105,0,12.062148,,7.737654862899534,,,,0.24087828008811374,,,,
KOI 989.03,0.121,0,16.16099,,13.995330267492003,,,,0.321171040117485,,,,
KOI 988.02,0.158,0,24.57078,,4.932953841674875,,,,0.1935947658485951,,,,
KOI 988.01,0.089,0,10.381209,,5.122100362548526,,,,0.1971633329610116,,,,
KOI 987.01,0.042,0,3.179262,,1.6628479427786154,,,,0.11419414759732799,,,,
KOI 986.02,0.34,0,76.0503,,2.947451119587408,,,,0.1507719604995971,,,,
KOI 986.01,0.077,0,8.18746,,4.3434831883691345,,,,0.1819969227332415,,,,
KOI 984.01,0.052,0,4.2873775,,10.90959948768827,,,,0.28459322721521585,,,,
KOI 1569.01,0.099,0,13.7521,,8.837888635153735,,,,0.256936832093988,,,,
KOI 1567.04,0.242,0,44.8418,,8.401078039854058,,,,0.2506918396472591,,,,
KOI 1567.03,0.128,0,17.32639,,5.611005295501855,,,,0.20608475074205287,,,,
KOI 1567.02,0.053,0,4.646195,,4.212926460493128,,,,0.17932049739892908,,,,
KOI 1567.01,0.072,0,7.240136,,6.9338481833272105,,,,0.22838829519465598,,,,
KOI 1564.01,0.276,0,53.44965,,28.681018046600972,,,,0.45499230683310365,,,,
KOI 1563.04,0.124,0,16.73826,,14.807970875782022,,,,0.33009245789852626,,,,
KOI 1563.03,0.041,0,3.205322,,4.886239243271286,,,,0.192702624070491,,,,
KOI 1563.02,0.077,0,8.29113,,11.698729954961784,,,,0.2944067867743612,,,,
KOI 1563.01,0.059,0,5.487006,,13.995330267492003,,,,0.321171040117485,,,,
KOI 1561.01,0.086,0,9.085941,,,,,,2.3195686230707246,,,,
KOI 1558.01,0.204,0,32.504651,,,,,,3.21171040117485,,,,
KOI 1375.01,0.958,0,321.2139,,63.031722840576435,,,,0.6048721255545967,,,,
KOI 1372.01,0.335,0,69.6275,,5.07447038755808,,,,0.1962711911829075,,,,
KOI 1370.01,0.07,0,6.883593,,3.6307279580728875,,,,0.16683051250547137,,,,
KOI 1369.01,0.041,0,3.016148,,2.3054090499081146,,,,0.13382126671561873,,,,
KOI 1367.01,0.012,0,0.5678562,,2.0295108248688116,,,,0.1257919907126816,,,,
KOI 1366.02,0.276,0,54.15784,,10.980167249937935,,,,0.28548536899332,,,,
KOI 1366.01,0.138,0,19.25416,,7.158880233386855,,,,0.2319568623070725,,,,
KOI 1364.05,0.035,0,2.580788,,2.433843701501933,,,,0.13738983382803524,,,,
KOI 1364.04,0.044,0,3.715345,,3.6708375830613647,,,,0.16772265428357547,,,,
KOI 1364.03,0.096,0,11.97865,,6.603229897013386,,,,0.22303544452603125,,,,
KOI 1187.01,0.01,0,0.3705294,,15.644230603267582,,,,0.3390138756795675,,,,
KOI 152.01,0.288,0,52.09043,,66.66870535119384,,,,0.6155778268918463,,,,
KOI 151.01,0.115,0,13.447247,,43.0617029585427,,,,0.5352850668624749,,,,
KOI 1176.01,0.027,0,1.97376051,,256.5116714337629,,,,0.8796517932106671,,,,
KOI 1175.02,0.133,0,17,,2.8055429718676264,,,,0.1472033933871806,,,,
KOI 1175.01,0.199,0,31.593,,3.9579590757816168,,,,0.17396764673030435,,,,
KOI 981.01,0.055,0,3.9978,,10.081033396622072,,,,0.27388752587796633,,,,
KOI 977.01,0.024,0,1.3537763,,,,,,5.665100290961194,,,,
KOI 976.01,0.337,0,52.56909,,,,,,7.940061825126712,,,,
KOI 974.01,0.309,0,53.50607,,11.264780171448647,,,,0.2890539361057365,,,,
KOI 972.02,0.098,0,7.82257,,3.0929647642111058,,,,0.1543405276120136,,,,
KOI 972.01,0.139,0,13.118908,,45.30236119638074,,,,0.5442064846435162,,,,
KOI 969.01,0.133,0,17.5120092,,135.940653644716,,,,0.757428369610402,,,,
KOI 1557.04,0.023,0,1.499142,,1.127535131576966,,,,0.09456702847903725,,,,
KOI 180.01,0.091,0,10.045607,,6.767500143047095,,,,0.22571186986034358,,,,
KOI 1557.03,0.053,0,5.315965,,7.158880233386855,,,,0.2319568623070725,,,,
KOI 1557.02,0.078,0,9.653484,,6.07064948758495,,,,0.21411402674498997,,,,
KOI 1557.01,0.038,0,3.2957058,,8.33960621970835,,,,0.24979969786915496,,,,
KOI 1553.01,0.282,0,52.75886,,83.79684371513837,,,,0.6601849157970525,,,,
KOI 1552.01,0.335,0,77.63367,,439.06293522785023,,,,0.963513120352455,,,,
KOI 179.02,1.369,0,572.3979,,27.5345643143956,,,,0.4460708890520625,,,,
KOI 1549.01,0.18,0,29.481015,,,,,,6.601849157970524,,,,
KOI 1547.01,0.196,0,30.693946,,605.988772524798,,,,1.0081202092576613,,,,
KOI 1546.01,0.018,0,0.9175471,,215.213708257045,,,,0.8475346891989187,,,,
KOI 1364.02,0.068,0,7.055652,,7.737654862899534,,,,0.24087828008811374,,,,
KOI 1364.01,0.14,0,20.83428,,9.61323999704988,,,,0.26764253343123745,,,,
KOI 1363.02,0.063,0,5.70078,,3.2044691558151084,,,,0.15701695294632598,,,,
KOI 1363.01,0.046,0,3.546534,,4.476091045191811,,,,0.18467334806755384,,,,
KOI 162.01,0.112,0,14.006406,,6.822718550845363,,,,0.22660401163844773,,,,
KOI 1362.01,0.143,0,20.51321,,7.737654862899534,,,,0.24087828008811374,,,,
KOI 1361.01,0.249,0,59.87769,,5.71153966661072,,,,0.20786903429826112,,,,
KOI 1360.03,0.015,0,0.76402,,0.44398467786198437,,,,0.06958705869212174,,,,
KOI 1360.02,0.108,0,14.59,,5.169959338117902,,,,0.19805547473911575,,,,
KOI 1360.01,0.201,0,36.77,,6.767500143047095,,,,0.22571186986034358,,,,
KOI 1359.02,0.443,0,104.8198,,80.09568837271686,,,,0.6512634980160111,,,,
KOI 1359.01,0.222,0,37.10064,,13.206269977356252,,,,0.3122496223364437,,,,
KOI 1358.04,0.031,0,2.34587,,1.1942591730325658,,,,0.09724345381334962,,,,
KOI 1358.03,0.042,0,3.648459,,1.2862979976310545,,,,0.1008120209257661,,,,
KOI 1358.02,0.075,0,8.74306,,2.565863797017356,,,,0.14095840094045176,,,,
KOI 161.01,0.039,0,3.1055091,,7.620047450030985,,,,0.2390939965319055,,,,
KOI 1174.01,0.796,0,330,,5.915365618472704,,,,0.2114376014106776,,,,
KOI 1170.01,0.073,0,7.343692,,4.61075182844951,,,,0.18734977340186623,,,,
KOI 1169.01,0.016,0,0.689204,,2.273859952710153,,,,0.1329291249375146,,,,
KOI 1168.01,1.193,0,432.129,,15.644230603267582,,,,0.3390138756795675,,,,
KOI 150.02,0.18,0,28.57414,,14.807970875782022,,,,0.33009245789852626,,,,
KOI 1166.01,0.077,0,7.67478,,6.603229897013386,,,,0.22303544452603125,,,,
KOI 1165.02,0.051,0,4.2928,,1.1057321980362427,,,,0.09367488670093312,,,,
KOI 1165.01,0.071,0,7.053943,,10.980167249937935,,,,0.28548536899332,,,,
KOI 1163.02,0.076,0,8.014957,,2.7359393456497925,,,,0.14541910983097237,,,,
KOI 1163.01,0.039,0,2.936497,,3.3180065866635373,,,,0.15969337828063837,,,,
KOI 956.01,0.07,0,8.360847,,10.769166217625674,,,,0.2828089436590076,,,,
KOI 955.01,0.075,0,7.039078,,8.33960621970835,,,,0.24979969786915496,,,,
KOI 954.02,0.218,0,36.92564,,10.28501878626085,,,,0.2765639512122787,,,,
KOI 954.01,0.079,0,8.115313,,8.964784942519199,,,,0.25872111565019623,,,,
KOI 131.01,0.06,0,5.0142325,,170.75744878241125,,,,0.8029276002937125,,,,
KOI 953.01,0.045,0,3.5840842,,22.162450488127313,,,,0.40146380014685623,,,,
KOI 179.01,0.15,0,20.740555,,14.807970875782022,,,,0.33009245789852626,,,,
KOI 1537.01,0.094,0,10.19144,,0.5228124520642565,,,,0.07315562580453824,,,,
KOI 1536.01,0.049,0,3.744351,,1.6628479427786154,,,,0.11419414759732799,,,,
KOI 1535.01,0.344,0,70.6985,,5.169959338117902,,,,0.19805547473911575,,,,
KOI 1534.02,0.08,0,7.63861,,0.8456707791486491,,,,0.08475346891989187,,,,
KOI 1534.01,0.154,0,20.42226,,2.770628689548617,,,,0.1463112516090765,,,,
KOI 1358.01,0.056,0,5.644954,,4.61075182844951,,,,0.18734977340186623,,,,
KOI 1357.01,0.04,0,3.01435,,8.52471870385609,,,,0.25247612320346735,,,,
KOI 1356.01,1.024,0,384.026,,178.69880734420806,,,,0.8118490180747536,,,,
KOI 1355.01,0.269,0,51.92981,,29.85155011707237,,,,0.463913724614145,,,,
KOI 1353.02,0.219,0,34.54363,,15.644230603267582,,,,0.3390138756795675,,,,
KOI 1353.01,0.518,0,125.86546,,,,,,1.6593837072736726,,,,
KOI 1347.01,0.108,0,14.405855,,605.988772524798,,,,1.3168012644816884,,,,
KOI 1344.01,0.054,0,4.487548,,1.2169393418407588,,,,0.09813559559145375,,,,
KOI 1342.02,0.083,0,8.181943,,4.793496041889274,,,,0.19091834051428275,,,,
KOI 1162.01,0.588,0,158.6924,,21.1598465337259,,,,0.392542382365815,,,,
KOI 1161.03,0.037,0,2.971365,,1.716814235608721,,,,0.11597843115353625,,,,
KOI 1161.02,0.089,0,10.93711,,4.169863043366393,,,,0.17842835562082499,,,,
KOI 150.01,0.079,0,8.408916,,13.206269977356252,,,,0.3122496223364437,,,,
KOI 1161.01,0.06,0,6.057428,,2.9834913156662846,,,,0.15166410227770125,,,,
KOI 1160.01,0.104,0,13.21415,,8.837888635153735,,,,0.256936832093988,,,,
KOI 1159.01,0.282,0,64.61635,,19.226203651576835,,,,0.37469954680373246,,,,
KOI 149.01,0.12,0,14.557339,,33.63351781363248,,,,0.4915701197353728,,,,
KOI 1151.02,0.072,0,7.411048,,1.999971253967007,,,,0.12489984893457748,,,,
KOI 951.02,0.181,0,33.65304,,6.07064948758495,,,,0.21411402674498997,,,,
KOI 951.01,0.097,0,13.197244,,10.28501878626085,,,,0.2765639512122787,,,,
KOI 949.01,0.107,0,12.532507,,10.28501878626085,,,,0.2765639512122787,,,,
KOI 948.01,0.16,0,24.5871,,6.07064948758495,,,,0.21411402674498997,,,,
KOI 947.01,0.149,0,28.59878,,6.494869996356761,,,,0.22125116096982297,,,,
KOI 945.02,0.242,0,40.71652,,9.61323999704988,,,,0.26764253343123745,,,,
KOI 945.01,0.179,0,25.84723,,6.878167879456173,,,,0.22749615341655183,,,,
KOI 1533.01,0.07,0,6.241515,,2.8406822746669205,,,,0.14809553516528473,,,,
KOI 1532.01,0.143,0,18.1145,,4.839753331230365,,,,0.19181048229238684,,,,
KOI 1531.01,0.063,0,5.699215,,2.1805541845358447,,,,0.13025269960320224,,,,
KOI 1530.01,0.112,0,12.98497,,3.7111739973176237,,,,0.1686147960616796,,,,
KOI 1528.01,0.046,0,3.98955,,0.8456707791486491,,,,0.08475346891989187,,,,
KOI 1527.01,0.628,0,192.6747,,19.226203651576835,,,,0.37469954680373246,,,,
KOI 1526.01,0.055,0,4.44446,,2.05927330401414,,,,0.12668413249078572,,,,
KOI 1525.01,0.084,0,7.714683,,6.07064948758495,,,,0.21411402674498997,,,,
KOI 1522.01,0.199,0,33.38541,,5.661157646570206,,,,0.20697689252015697,,,,
