NAME,MSTAR
,mearth
Kepler-4 b,407158.97693415015
HD 190647 b,366210.03649024136
HD 97658 b,249022.8248133641
Kepler-261 b,
Kepler-57 b,276322.1184426366
Kepler-175 b,
Kepler-323 b,
Kepler-377 c,
HD 106270 b,442781.2259382009
Kepler-379 c,
HD 30856 b,452768.7723879348
Kepler-315 c,
Kepler-80 b,239701.1147936125
Kepler-179 c,
HD 48265 b,309613.93994174956
CoRoT-27 b,349564.1257406849
Kepler-360 c,
Kepler-262 b,
Kepler-381 b,
Kepler-168 c,
Kepler-84 f,
HD 89307 b,329256.1146262261
HD 163607 c,362880.8543403301
WASP-49 b,312277.2856616785
Kepler-288 b,
Kepler-37 c,267333.3266378762
Kepler-55 b,206409.2932944997
HD 4313 b,509364.8689364266
HR 8799 b,504704.0139265508
HD 2638 b,309613.93994174956
Kepler-272 b,
Kepler-231 b,
HD 168443 b,331253.62391617283
Kepler-373 b,
Kepler-288 d,
HD 10180 f,352893.3078905962
HD 45350 b,350895.79860064946
HD 69830 c,282647.56452746806
Kepler-21 b,446110.4080881122
Kepler-352 c,
Kepler-363 b,
Kepler-390 b,
Kepler-340 b,
Kepler-335 c,
HD 47186 b,329589.0328412172
Kepler-226 b,
KELT-3 b,426801.1516186267
Kepler-51 c,332918.2149911285
HD 148427 b,452768.7723879348
Kepler-226 c,
epsilon Tau b,908866.7269257809
Kepler-11 e,319934.40460647445
Kepler-366 c,
HD 208487 b,370537.97328512603
Kepler-288 c,
Kepler-311 b,
Kepler-117 c,
epsilon Eri b,272992.9362927253
Kepler-69 c,269663.7541428141
Kepler-296 f,
HD 20782 b,322597.75032640353
Kepler-228 c,
HD 190360 c,327258.6053362793
Kepler-23 c,369539.21864015266
Kepler-378 b,
HD 65216 b,306284.75779183826
Kepler-343 c,
Kepler-42 b,43279.36794884671
Kepler-212 b,
Kepler-296 c,
Kepler-356 b,
HAT-P-13 b,406160.2222891768
Kepler-244 b,
GJ 3634 b,149813.19674600783
Kepler-9 b,332918.2149911285
HD 130322 b,278319.6277325834
Kepler-31 d,
Kepler-399 d,
Kepler-215 c,
Kepler-108 b,
Kepler-348 c,
Kepler-124 b,
Kepler-185 c,
Kepler-191 c,
omega Ser b,722432.5265307488
Kepler-111 b,
HD 16175 b,429464.49733855575
Kepler-235 b,
HD 46375 b,308615.1852967761
Kepler-48 c,296297.21134210436
Kepler-114 b,
Kepler-60 d,369539.21864015266
Kepler-14 b,503372.34106658626
Kepler-234 c,
CoRoT-13 b,362880.8543403301
HD 98219 b,539327.5082856282
HD 11964 b,359551.6721904188
HAT-P-34 b,463422.15526765084
MOA-2010-BLG-477L b,223055.2040440561
Kepler-31 b,402831.0401392655
Kepler-85 c,306284.75779183826
Kepler-219 d,
Kepler-248 c,
HD 139357 b,449439.5902380235
HD 1461 b,341574.08858089783
Kepler-283 c,
HAT-P-30 b,413484.4230189816
Kepler-251 d,
Kepler-234 b,
Kepler-37 b,267333.3266378762
Kepler-392 c,
HD 8535 b,376197.58293997514
HAT-P-28 b,341241.17036590667
Kepler-349 c,
HD 4203 b,376197.58293997514
Kepler-331 d,
HD 102956 b,559302.6011850958
Kepler-362 c,
Kepler-186 e,159134.9067657594
Kepler-321 c,
Kepler-376 c,
Fomalhaut b,639202.9727829667
GJ 176 b,163129.92534565294
HD 23079 b,336913.23357102205
HD 178911 B b,354294.8935757089
WASP-58 b,312943.1220916608
Kepler-244 c,
Kepler-354 b,
Kepler-278 b,
HD 162020 b,266334.57199290284
Kepler-183 b,
MOA-bin-1L b,249688.66124334635
Kepler-210 c,
Kepler-184 d,
HD 168746 b,304953.0849318737
GJ 876 c,106533.82879716111
Kepler-20 c,303621.4120719092
Kepler-47 b,347233.698235747
Kepler-296 b,
Kepler-402 b,
Kepler-260 b,
Kepler-255 c,
HD 215497 b,290304.68347226403
Kepler-62 f,229713.56834387864
HD 154345 b,297295.96598707774
Kepler-60 c,369539.21864015266
Kepler-395 c,
HD 217107 b,368873.38221017044
mu Ara c,381857.1925948244
HD 7199 b,296297.21134210436
Kepler-233 c,
GJ 433 b,159800.74319574167
HD 159243 b,374532.99186501955
Kepler-327 d,
HAT-P-31 b,405494.3858591945
OGLE-TR-113 b,259343.28947808914
Kepler-356 c,
Kepler-41 b,312943.1220916608
Kepler-270 b,
HD 40307 d,246359.4790934351
HD 290327 b,299626.39349201566
GJ 876 e,106533.82879716111
HD 169830 c,468415.9284925178
47 UMa c,353892.06253556954
Kepler-85 b,306284.75779183826
Kepler-313 c,
Kepler-199 b,
Kepler-172 b,
Kepler-223 d,
Kepler-360 b,
Kepler-246 b,
Kepler-347 b,
HD 63765 b,287974.2559673261
Kepler-217 c,
HD 85390 b,253017.84339325764
Kepler-401 c,
Kepler-299 c,
Kepler-112 b,
Kepler-155 c,
Kepler-271 c,
Kepler-241 c,
WASP-77 A b,333584.05142111075
Kepler-164 c,
Kepler-371 b,
55 Cnc e,301290.9845669713
HIP 57274 d,243030.2969435238
HD 221287 b,416147.7687389106
KOI-13 b,682482.3407318133
HD 192699 b,526010.7796859831
Kepler-178 d,
Kepler-312 b,
Kepler-164 b,
Kepler-341 b,
Kepler-311 c,
HD 181342 b,565960.9654849184
WASP-8 b,342905.7614408624
HD 131496 b,535998.3261357169
Kepler-154 c,
Kepler-334 c,
Kepler-372 c,
Kepler-127 b,
HD 44219 b,332918.2149911285
75 Cet b,715774.1622309262
Kepler-27 b,216396.83974423353
Kepler-210 b,
Kepler-40 b,492718.9581868702
Kepler-171 c,
Kepler-298 c,
Kepler-331 c,
HD 220074 b,399501.8579893542
Kepler-133 b,
HAT-P-39 b,467417.17384754436
WASP-26 b,372868.40079006396
WASP-71 b,523347.43396605406
HIP 2247 b,246359.4790934351
GJ 876 d,106533.82879716111
Kepler-312 c,
OGLE-TR-56 b,408823.5680091058
Kepler-235 c,
Kepler-146 c,
Kepler-372 d,
Kepler-156 b,
HD 38529 b,446110.4080881122
Kepler-393 c,
Kepler-136 c,
BD +20 2457 c,352893.3078905962
Kepler-144 b,
HD 22781 b,249688.66124334635
Kepler-208 d,
Kepler-286 e,
Kepler-351 b,
HD 120084 b,795674.5338287972
MOA-2009-BLG-266L b,186434.20039503198
Kepler-387 b,
HD 20868 b,259676.2076930802
HAT-P-9 b,426135.31518864445
Kepler-33 e,429797.41555354686
Kepler-216 c,
Kepler-365 c,
Kepler-19 b,311611.44923169626
Kepler-130 b,
Kepler-160 c,
Kepler-207 c,
Kepler-284 b,
Kepler-326 b,
HD 107148 b,378528.0104449131
Kepler-200 c,
Kepler-280 c,
KIC 11442793 b,399501.8579893542
Kepler-249 d,
51 Peg b,350895.79860064946
WASP-60 b,358885.83576043654
Kepler-125 c,
Kepler-319 c,
Kepler-153 b,
55 Cnc f,301290.9845669713
Kepler-238 d,
Kepler-153 c,
HD 212301 b,349564.1257406849
Kepler-295 c,
GJ 504 b,406160.2222891768
HAT-P-15 b,337246.15178601316
Kepler-24 e,
HD 209458 b,376530.5011549663
HD 102272 b,366210.03649024136
HD 181433 b,259676.2076930802
HD 187123 b,345236.18894580024
HD 108147 b,389847.2297546115
Kepler-82 c,282980.4827424592
WASP-61 b,406160.2222891768
Kepler-58 b,316272.3042415721
Kepler-379 b,
Kepler-376 b,
HD 215497 c,290304.68347226403
Kepler-225 b,
CoRoT-17 b,346234.9435907737
HD 20794 d,233042.75049378994
xi Aql b,369539.21864015266
HD 33564 b,416147.7687389106
HD 40979 b,384187.6200997622
GJ 581 c,103204.64664724984
HD 10180 c,352893.3078905962
WASP-31 b,387849.7204646647
HD 134987 c,350895.79860064946
Kepler-164 d,
HD 40307 b,246359.4790934351
Kepler-199 c,
Kepler-344 b,
Kepler-132 b,
iota Dra b,379526.76508988644
HD 108874 b,316272.3042415721
Kepler-250 d,
Kepler-256 d,
Kepler-187 b,
HD 4732 b,579277.6940845635
Kepler-374 d,
Kepler-383 c,
HD 23596 b,385852.21117471793
Kepler-295 b,
Kepler-171 d,
HD 25171 b,362880.8543403301
HD 83443 b,329921.95105620835
Kepler-287 b,
WASP-36 b,339576.5792909511
Kepler-213 c,
Kepler-268 b,
HD 43691 b,459427.1366877573
Kepler-204 b,
Kepler-149 c,
30 Ari B b,386185.12938970904
HAT-P-6 b,429464.49733855575
Kepler-35 b,295531.4994476248
Kepler-397 b,
Kepler-129 c,
Kepler-398 c,
Kepler-211 b,
Kepler-242 b,
Kepler-138 b,
Kepler-389 b,
PSR B1257+12 A,
BD -08 2823 c,246359.4790934351
4 UMa b,410821.07729905256
Qatar-1 b,282980.4827424592
HD 10697 b,370205.0550701349
Kepler-194 b,
Kepler-221 d,
Kepler-338 d,
Kepler-32 e,179775.8360952094
HD 113337 b,466085.5009875799
Kepler-146 b,
Kepler-11 f,319934.40460647445
BD +20 2457 b,352893.3078905962
Kepler-176 c,
mu Ara d,381857.1925948244
HD 3651 b,293633.86562217533
KIC 11442793 b,399501.8579893542
HD 99706 b,572619.3297847409
Kepler-251 b,
HD 169830 b,468415.9284925178
Kepler-292 c,
HD 175541 b,446110.4080881122
Kepler-324 b,
Kepler-250 c,
HD 202206 c,357554.16290047206
Kepler-309 b,
HD 145457 b,632544.6084831442
Kepler-261 c,
Kepler-336 c,
HD 206610 b,432793.67948846705
M 67 SAND 364 b,449439.5902380235
Kepler-365 b,
HD 12661 c,378195.0922299219
Kepler-12 b,388182.6386796558
Kepler-229 d,
KIC 11442793 b,399501.8579893542
HAT-P-36 b,340242.41572093335
WASP-35 b,356222.4900405075
HD 69830 d,282647.56452746806
HD 28254 b,352893.3078905962
HD 81688 b,699128.2514813698
HD 210277 b,328257.3599812527
Kepler-132 c,
WTS-1 b,399501.8579893542
Kepler-322 b,
HR 8799 c,504704.0139265508
Kepler-51 b,332918.2149911285
Kepler-252 b,
