# name, mass, mass_error_min, mass_error_max, radius, radius_error_min, radius_error_max, orbital_period, orbital_period_err_min, orbital_period_err_max, semi_major_axis, semi_major_axis_error_min, semi_major_axis_error_max, eccentricity, eccentricity_error_min, eccentricity_error_max, angular_distance, inclination, inclination_error_min, inclination_error_max, tzero_tr, tzero_tr_error_min, tzero_tr_error_max, tzero_tr_sec, tzero_tr_sec_error_min, tzero_tr_sec_error_max, lambda_angle, lambda_angle_error_min, lambda_angle_error_max, tzero_vr, tzero_vr_error_min, tzero_vr_error_max, temp_calculated, temp_measured, hot_point_lon, log_g, publication_status, discovered, updated, omega, omega_error_min, omega_error_max, tperi, tperi_error_min, tperi_error_max, detection_type, alternate_names, molecules, star_name, ra, dec, mag_v, mag_i, mag_j, mag_h, mag_k, star_distance, star_metallicity, star_mass, star_radius, star_sp_type, star_age, star_teff
Kepler-372 b,,,,0.121,0.053,0.053,6.849692,0.000134,0.000134,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-372,291.25619505,49.258953,,,13.878,13.563,13.559,,-0.137,1.15,1.14,,,6509.0
Kepler-372 c,,,,0.186,0.08,0.08,20.053763,0.00019,0.00019,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-372,291.25619505,49.258953,,,13.878,13.563,13.559,,-0.137,1.15,1.14,,,6509.0
Kepler-372 d,,,,0.151,0.065,0.065,30.092568,0.00068,0.00068,0.201,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-372,291.25619505,49.258953,,,13.878,13.563,13.559,,-0.137,1.15,1.14,,,6509.0
Kepler-373 b,,,,0.121,0.06,0.06,5.535309,2.9e-05,2.9e-05,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-373,289.38800055,50.59705,,,13.28,12.896,12.859,,-0.272,0.87,0.84,,,5787.0
Kepler-373 c,,,,0.111,0.055,0.055,16.725948,0.000227,0.000227,0.126,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-373,289.38800055,50.59705,,,13.28,12.896,12.859,,-0.272,0.87,0.84,,,5787.0
Kepler-374 b,,,,0.092,0.048,0.048,1.897806,1.1e-05,1.1e-05,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-374,294.1379394,42.370502,,,13.503,13.181,13.136,,-0.441,0.84,0.91,,,5977.0
Kepler-374 c,,,,0.098,0.051,0.051,3.282807,2e-05,2e-05,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-374,294.1379394,42.370502,,,13.503,13.181,13.136,,-0.441,0.84,0.91,,,5977.0
Kepler-374 d,,,,0.117,0.062,0.062,5.028219,4e-05,4e-05,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-374,294.1379394,42.370502,,,13.503,13.181,13.136,,-0.441,0.84,0.91,,,5977.0
Kepler-375 b,,,,0.129,0.045,0.045,12.125934,0.000204,0.000204,0.101,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-375,288.6179199,48.098415,,,14.536,14.092,14.081,,-0.197,0.89,0.84,,,5826.0
Kepler-375 c,,,,0.236,0.086,0.086,19.986326,0.000184,0.000184,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-375,288.6179199,48.098415,,,14.536,14.092,14.081,,-0.197,0.89,0.84,,,5826.0
Kepler-376 b,,,,0.095,0.02,0.02,4.920199,7.3e-05,7.3e-05,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-376,291.6071778,38.410385,,,12.697,12.384,12.32,,-0.151,1.05,1.18,,,5900.0
Kepler-376 c,,,,0.16,0.032,0.032,14.172327,0.000108,0.000108,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-376,291.6071778,38.410385,,,12.697,12.384,12.32,,-0.151,1.05,1.18,,,5900.0
Kepler-377 b,,,,0.124,0.024,0.024,12.509529,0.000257,0.000257,0.109,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-377,295.421997,38.735691,,,12.801,12.474,12.469,,-0.497,0.88,1.22,,,5949.0
Kepler-377 c,,,,0.184,0.035,0.035,27.014976,0.000347,0.000347,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-377,295.421997,38.735691,,,12.801,12.474,12.469,,-0.497,0.88,1.22,,,5949.0
Kepler-378 b,,,,0.067,0.013,0.013,16.092361,7.3e-05,7.3e-05,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-378,294.94857795,46.438641,,,10.846,10.317,10.201,,0.553,0.96,0.67,,,4661.0
Kepler-378 c,,,,0.062,0.004,0.004,28.906009,0.000216,0.000216,0.166,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-378,294.94857795,46.438641,,,10.846,10.317,10.201,,0.553,0.96,0.67,,,4661.0
Kepler-379 b,,,,0.148,0.028,0.028,20.09838,0.00018,0.00018,0.152,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-379,295.70111085,38.945831,,,12.341,12.092,12.005,,-0.045,1.08,1.31,,,6054.0
Kepler-379 c,,,,0.204,0.038,0.038,62.784697,0.000661,0.000661,0.326,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-379,295.70111085,38.945831,,,12.341,12.092,12.005,,-0.045,1.08,1.31,,,6054.0
Kepler-37b,0.00874681433470723,0.0116414435389988,0.00874681433470723,0.0285485387609,0.0017842836725554,0.0017842836725554,13.367308,8.5e-05,5.8e-05,0.1003,0.0011,0.0008,,,,,88.63,0.53,0.3,2455017.03271,0.00089,0.00034,,,,,,,,,,,,,,1,2013,2014-01-29,,,,,,,detected by transit,,,Kepler-37,284.59625,44.51817,9.77,,,,,66.0,-0.32,0.803,0.77,,6.0,5417.0
Kepler-37c,0.0314633609162131,,,0.0669106377208274,0.0026764255088331,0.0026764255088331,21.301886,4.4e-05,4.6e-05,0.1368,0.0014,0.0011,,,,,89.07,0.33,0.19,2455024.83816,0.00078,0.00036,,,,,,,,,,,,,,1,2013,2014-01-12,,,,,,,detected by transit,,,Kepler-37,284.59625,44.51817,9.77,,,,,66.0,-0.32,0.803,0.77,,6.0,5417.0
Kepler-37d,0.0383853003177799,,,0.173075516237874,0.00535285101766619,0.00535285101766619,39.792187,4.3e-05,4e-05,0.2076,0.0022,0.0016,,,,,89.335,0.047,0.043,2455008.24979,0.00049,0.00043,,,,,,,,,,,,,,1,2013,2014-01-12,,,,,,,detected by transit,,,Kepler-37,284.59625,44.51817,9.77,,,,,66.0,-0.32,0.803,0.77,,6.0,5417.0
Kepler-38(AB) b,0.38,0.0,0.38,0.39,0.01,0.01,105.595,0.038,0.038,0.4644,0.0082,0.0082,,,,,89.446,0.026,0.026,,,,,,,,,,,,,,,,,1,2012,2013-08-30,,,,,,,detected by transit,,,Kepler-38A,286.8292,42.2792,14.3,,,,,,-0.158,0.949,1.757,,,5640.0
Kepler-380 b,,,,0.106,0.021,0.021,3.930821,3.8e-05,3.8e-05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-380,282.39462285,48.75914,,,12.614,12.35,12.289,,-0.144,1.05,1.22,,,6045.0
Kepler-380 c,,,,0.113,0.025,0.025,7.630004,7.3e-05,7.3e-05,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-380,282.39462285,48.75914,,,12.614,12.35,12.289,,-0.144,1.05,1.22,,,6045.0
Kepler-381 b,,,,0.088,0.02,0.02,5.629021,2.8e-05,2.8e-05,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-381,285.18280035,43.831089,,,9.721,9.547,9.504,,,1.34,1.57,,,6152.0
Kepler-381 c,,,,0.1,0.022,0.022,13.391635,0.000129,0.000129,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-381,285.18280035,43.831089,,,9.721,9.547,9.504,,,1.34,1.57,,,6152.0
Kepler-382 b,,,,0.118,0.056,0.056,5.262155,4.7e-05,4.7e-05,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-382,299.1361695,45.869934,,,13.403,12.953,12.89,,-0.314,0.8,0.94,,,5600.0
Kepler-382 c,,,,0.142,0.069,0.069,12.162701,0.000109,0.000109,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-382,299.1361695,45.869934,,,13.403,12.953,12.89,,-0.314,0.8,0.94,,,5600.0
Kepler-383 b,,,,0.118,0.046,0.046,12.904532,0.000121,0.000121,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-383,291.3425904,38.363132,,,13.367,12.807,12.674,,-0.157,0.67,0.67,,,4710.0
Kepler-383 c,,,,0.111,0.044,0.044,31.200751,0.000354,0.000354,0.172,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-383,291.3425904,38.363132,,,13.367,12.807,12.674,,-0.157,0.67,0.67,,,4710.0
Kepler-384 b,,,,0.1,0.029,0.029,22.597053,0.000243,0.000243,0.148,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-384,286.026123,44.782871,,,12.419,12.082,12.038,,-0.567,0.76,0.88,,,5577.0
Kepler-384 c,,,,0.101,0.029,0.029,45.348269,0.000779,0.000779,0.236,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-384,286.026123,44.782871,,,12.419,12.082,12.038,,-0.567,0.76,0.88,,,5577.0
Kepler-385 b,,,,0.244,0.123,0.123,10.043686,0.000128,0.000128,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-385,294.3384705,50.336544,,,14.156,13.851,13.819,,-0.034,1.09,1.13,,,6326.0
Kepler-385 c,,,,0.271,0.139,0.139,15.163161,0.000269,0.000269,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-385,294.3384705,50.336544,,,14.156,13.851,13.819,,-0.034,1.09,1.13,,,6326.0
Kepler-386 b,,,,0.124,0.073,0.073,12.31043,0.000218,0.000218,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-386,289.85885625,48.693855,,,14.183,13.754,13.605,,-0.225,0.74,0.77,,,5178.0
Kepler-386 c,,,,0.141,0.079,0.079,25.193458,0.000342,0.000342,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-386,289.85885625,48.693855,,,14.183,13.754,13.605,,-0.225,0.74,0.77,,,5178.0
Kepler-387 b,,,,0.092,0.021,0.021,6.791636,9.4e-05,9.4e-05,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-387,287.7981873,45.656715,,,12.909,12.608,12.536,,-0.233,1.03,1.05,,,5774.0
Kepler-387 c,,,,0.079,0.02,0.02,11.837549,0.000329,0.000329,0.098,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-387,287.7981873,45.656715,,,12.909,12.608,12.536,,-0.233,1.03,1.05,,,5774.0
Kepler-388 b,,,,0.072,0.009,0.009,3.173315,1.8e-05,1.8e-05,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-388,284.8280334,44.60873,,,13.261,12.657,12.544,,-0.329,0.59,0.59,,,4498.0
Kepler-388 c,,,,0.077,0.01,0.01,13.297004,0.000185,0.000185,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-388,284.8280334,44.60873,,,13.261,12.657,12.544,,-0.329,0.59,0.59,,,4498.0
Kepler-389 b,,,,0.135,0.069,0.069,3.244107,3e-05,3e-05,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-389,291.95999145,44.900024,,,14.417,13.903,13.896,,-0.191,0.78,0.79,,,5376.0
Kepler-389 c,,,,0.13,0.067,0.067,14.51143,0.000305,0.000305,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-389,291.95999145,44.900024,,,14.417,13.903,13.896,,-0.191,0.78,0.79,,,5376.0
Kepler-39 b,18.0,0.9,0.9,1.22,0.12,0.12,21.087174,1.8e-05,1.8e-05,0.155,0.03,0.03,0.121,0.023,0.023,,88.83,0.59,0.4,2454972.5959,0.0006,0.0006,,,,,,,,,,905.0,,,,1,2011,2013-09-24,98.9,5.9,6.8,,,,detected by transit,,,Kepler-39,296.9583333,46.0344444,14.3,,,,,1200.0,-0.29,1.1,1.39,F7IV,5.08,6260.0
Kepler-390 b,,,,0.073,0.006,0.006,6.738088,6.7e-05,6.7e-05,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-390,291.62878425,41.208603,,,12.584,12.194,12.075,,-0.539,0.67,0.78,,,5166.0
Kepler-390 c,,,,0.07,0.007,0.007,13.060022,0.000257,0.000257,0.101,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-390,291.62878425,41.208603,,,12.584,12.194,12.075,,-0.539,0.67,0.78,,,5166.0
Kepler-391 b,,,,0.285,0.07,0.07,7.416755,0.000129,0.000129,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-391,290.62182615,51.057304,,,11.564,11.072,10.97,,0.02,1.22,3.57,,,4940.0
Kepler-391 c,,,,0.316,0.077,0.077,20.485435,0.000393,0.000393,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-391,290.62182615,51.057304,,,11.564,11.072,10.97,,0.02,1.22,3.57,,,4940.0
Kepler-392 b,,,,0.089,0.019,0.019,5.341853,5.5e-05,5.5e-05,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-392,288.66076665,43.368084,,,12.414,12.151,12.121,,-0.297,1.13,1.13,,,5938.0
Kepler-392 c,,,,0.098,0.021,0.021,10.423118,8.7e-05,8.7e-05,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-392,288.66076665,43.368084,,,12.414,12.151,12.121,,-0.297,1.13,1.13,,,5938.0
Kepler-393 b,,,,0.115,0.022,0.022,9.182417,9.6e-05,9.6e-05,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-393,290.99526975,45.192215,,,12.325,12.087,11.995,,-0.217,1.32,1.38,,,6189.0
Kepler-393 c,,,,0.119,0.028,0.028,14.613612,0.000231,0.000231,0.124,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-393,290.99526975,45.192215,,,12.325,12.087,11.995,,-0.217,1.32,1.38,,,6189.0
Kepler-394 b,,,,0.143,0.073,0.073,8.005013,9e-05,9e-05,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-394,296.30194095,50.672318,,,13.724,13.436,13.384,,-0.129,1.11,1.13,,,6402.0
Kepler-394 c,,,,0.148,0.077,0.077,12.130686,0.00018,0.00018,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-394,296.30194095,50.672318,,,13.724,13.436,13.384,,-0.129,1.11,1.13,,,6402.0
Kepler-395 b,,,,0.092,0.007,0.007,7.054346,7e-05,7e-05,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-395,293.51110845,45.136597,,,13.818,13.131,12.948,,-0.163,0.53,0.56,,,4262.0
Kepler-395 c,,,,0.118,0.008,0.008,34.989262,0.000543,0.000543,0.177,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-395,293.51110845,45.136597,,,13.818,13.131,12.948,,-0.163,0.53,0.56,,,4262.0
Kepler-396 b,0.22,0.61,0.068,0.31,0.12,0.12,42.994,,,0.36709,,,,,,,,,,2455015.65259,,,,,,,,,,,,,,,,1,2013,2013-12-20,,,,,,,detected by transit,,,Kepler-396,296.1333,48.8106,,,,,,,-0.129,0.81,1.04,,,5384.0
Kepler-396 c,0.053,0.14,0.016,0.47,0.19,0.19,88.505,,,0.22662,,,,,,,,,,2454995.51176,,,,,,,,,,,,,,,,1,2013,2013-12-20,,,,,,,detected by transit,,,Kepler-396,296.1333,48.8106,,,,,,,-0.129,0.81,1.04,,,5384.0
Kepler-397 b,,,,0.219,1.902,1.902,22.250949,0.000186,0.000186,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-397,295.894104,42.380451,,,14.587,14.123,13.9,,-0.035,,0.77,,,5307.0
Kepler-397 c,,,,0.551,0.05,0.05,135.498527,0.000668,0.000668,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-397,295.894104,42.380451,,,14.587,14.123,13.9,,-0.035,,0.77,,,5307.0
Kepler-398 b,,,,0.083,0.009,0.009,4.081423,1.1e-05,1.1e-05,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-398,291.4686585,40.343853,,,11.514,10.932,10.794,,-0.046,,0.61,,,4493.0
Kepler-398 c,,,,0.09,0.01,0.01,11.419412,4.7e-05,4.7e-05,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-398,291.4686585,40.343853,,,11.514,10.932,10.794,,-0.046,,0.61,,,4493.0
Kepler-399 b,,,,0.086,0.045,0.045,14.425281,0.000144,0.000144,0.103,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-399,299.50173945,40.670807,,,13.175,12.779,12.698,,-0.827,,0.68,,,5502.0
Kepler-399 c,,,,0.128,0.069,0.069,26.67569,0.000171,0.000171,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-399,299.50173945,40.670807,,,13.175,12.779,12.698,,-0.827,,0.68,,,5502.0
Kepler-399 d,,,,0.169,0.09,0.09,58.034616,0.000363,0.000363,0.261,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-399,299.50173945,40.670807,,,13.175,12.779,12.698,,-0.827,,0.68,,,5502.0
Kepler-4 b,0.0824340056004782,0.0128055878928987,0.0128055878928987,0.35685673451108,0.0187349785618317,0.0187349785618317,3.21346,0.00022,0.00022,0.0456,0.0009,0.0009,0.0,,,8.3e-05,89.76,2.05,2.05,2454956.6127,0.0015,0.0015,,,,,,,,,,,,,,1,2010,2013-11-05,,,,,,,detected by transit,,,Kepler-4,285.6166667,50.1358333,12.7,,,,,550.0,0.17,1.223,1.487,G0,4.5,5857.0
Kepler-40 b,2.2,0.4,0.4,1.17,0.04,0.04,6.87349,0.00064,0.00064,0.08,0.003,0.003,0.0,,,3e-05,89.7,0.1,0.1,2455005.5198,0.0024,0.0024,,,,,,,,,,,,,,1,2010,2013-09-24,,,,,,,detected by transit,,,Kepler-40,296.8125,47.5266667,14.76,,,,,2700.0,0.1,1.48,2.13,F5IV,2.8,6510.0
Kepler-400 b,,,,0.147,0.027,0.027,9.024389,3.4e-05,3.4e-05,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-400,290.9444886,40.480034,,,12.566,12.289,12.296,,0.009,,1.15,,,5886.0
Kepler-400 c,,,,0.133,0.025,0.025,17.340824,0.0001,0.0001,0.134,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-400,290.9444886,40.480034,,,12.566,12.289,12.296,,0.009,,1.15,,,5886.0
Kepler-401 b,,,,0.153,0.036,0.036,14.383035,0.000211,0.000211,0.122,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-401,290.08276365,50.863483,,,12.277,12.065,11.987,,-0.297,,1.33,,,6117.0
Kepler-401 c,,,,0.192,0.036,0.036,47.318218,0.000695,0.000695,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-401,290.08276365,50.863483,,,12.277,12.065,11.987,,-0.297,,1.33,,,6117.0
Kepler-402 b,,,,0.109,0.021,0.021,4.028751,1.9e-05,1.9e-05,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-402,288.3702393,43.35461,,,12.303,12.082,11.993,,-0.22,,1.26,,,6090.0
Kepler-402 c,,,,0.139,0.031,0.031,6.124821,2.6e-05,2.6e-05,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-402,288.3702393,43.35461,,,12.303,12.082,11.993,,-0.22,,1.26,,,6090.0
Kepler-402 d,,,,0.123,0.024,0.024,8.921099,5.6e-05,5.6e-05,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-402,288.3702393,43.35461,,,12.303,12.082,11.993,,-0.22,,1.26,,,6090.0
Kepler-402 e,,,,0.13,0.026,0.026,11.242861,5.9e-05,5.9e-05,0.102,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-402,288.3702393,43.35461,,,12.303,12.082,11.993,,-0.22,,1.26,,,6090.0
Kepler-403 b,,,,0.112,0.02,0.02,7.031462,5.1e-05,5.1e-05,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-403,289.9214478,46.74456,,,11.83,11.575,11.537,,-0.145,,1.33,,,6090.0
Kepler-403 c,,,,0.156,0.029,0.029,54.280749,0.000562,0.000562,0.297,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-403,289.9214478,46.74456,,,11.83,11.575,11.537,,-0.145,,1.33,,,6090.0
Kepler-404 b,,,,0.113,0.049,0.049,11.829851,0.000209,0.000209,0.102,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-404,286.39862055,45.343533,,,13.908,13.527,13.477,,-0.009,,0.88,,,5654.0
Kepler-404 c,,,,0.153,0.076,0.076,14.751166,0.000261,0.000261,0.118,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-404,286.39862055,45.343533,,,13.908,13.527,13.477,,-0.009,,0.88,,,5654.0
Kepler-405 b,,,,0.186,0.088,0.088,10.613839,0.000111,0.000111,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-405,291.4094544,38.340031,,,14.543,14.172,14.056,,-0.131,,0.89,,,5818.0
Kepler-405 c,,,,0.416,2.378,2.378,29.726682,0.011477,0.011477,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,4,2014,2014-03-06,,,,,,,detected by transit,,,Kepler-405,291.4094544,38.340031,,,14.543,14.172,14.056,,-0.131,,0.89,,,5818.0
Kepler-41  b,0.49,0.09,0.09,0.841,0.032,0.032,1.855558,7e-06,7e-06,0.029,0.001,0.001,0.0,,,4e-05,88.3,0.7,0.7,2454970.1803,0.0003,0.0003,,,,,,,,,,1745.0,,,,1,2011,2013-10-19,,,,,,,detected by transit,,,Kepler-41,294.5125,45.9816667,14.5,,,,,730.0,-0.09,0.94,0.966,G2V,7.4,5660.0
Kepler-410A b,,,,0.253189853136,0.00481756591589957,0.00481756591589957,17.833648,5.4e-05,5.4e-05,0.1236,0.0047,0.0047,0.17,0.32,0.32,,87.72,0.15,0.15,2455014.22232,0.00058,0.00058,,,,,,,,,,,,,,1,2013,2013-12-20,270.0,60.0,60.0,,,,detected by transit,,,Kepler-410A,283.150000012,45.13972223,9.5,,,,,132.0,0.0,1.214,1.352,,2.76,6273.0
Kepler-412 b,0.939,0.085,0.085,1.325,0.043,0.043,1.720861232,4.7e-08,4.7e-08,0.02959,0.00078,0.00078,0.0038,0.0032,0.0087,,80.89,0.2,0.2,2454966.02103,2.3e-05,2.3e-05,,,,,,,,,,,,,,1,2014,2014-05-21,125.0,150.0,49.0,,,,detected by transit,,,Kepler-412,286.108333342,43.680833358,13.73,,,,,1056.0,0.27,1.167,1.287,G3V,5.1,5750.0
Kepler-413(AB) b,0.210804518138628,0.0660730579240475,0.0660730579240475,0.387814056229916,0.00883220417914922,0.00883220417914922,66.262,,,0.3553,,,0.1181,,,,89.929,,,,,,,,,,,,,,,,,,,1,2013,2014-01-30,94.6,,,,,,detected by transit,,,Kepler-413 (AB),288.5125,51.1625,,,,,,,,1.3623,0.7761,,,4700.0
Kepler-42 b,0.009,inf,nan,0.07,0.02,0.02,1.2137672,4.6e-06,4.6e-06,0.0116,,,,,,0.0003,,,,,,,,,,,,,,,,,,,,1,2012,2013-08-30,,,,,,,detected by transit,,,Kepler-42,292.2208333,44.6194444,16.12,,,,,38.7,-0.48,0.13,0.17,,,3068.0
Kepler-42 c,0.006,inf,nan,0.065,0.018,0.018,0.45328509,9.7e-07,9.7e-07,0.006,,,,,,0.000155,,,,,,,,,,,,,,,,,,,,1,2012,2013-08-30,,,,,,,detected by transit,,,Kepler-42,292.2208333,44.6194444,16.12,,,,,38.7,-0.48,0.13,0.17,,,3068.0
Kepler-42 d,0.003,inf,nan,0.051,0.016,0.016,1.856169,1.4e-05,1.4e-05,0.0154,,,,,,0.000398,,,,,,,,,,,,,,,,,,,,1,2012,2013-08-30,,,,,,,detected by transit,,,Kepler-42,292.2208333,44.6194444,16.12,,,,,38.7,-0.48,0.13,0.17,,,3068.0
