# name, mass, mass_error_min, mass_error_max, radius, radius_error_min, radius_error_max, orbital_period, orbital_period_err_min, orbital_period_err_max, semi_major_axis, semi_major_axis_error_min, semi_major_axis_error_max, eccentricity, eccentricity_error_min, eccentricity_error_max, angular_distance, inclination, inclination_error_min, inclination_error_max, tzero_tr, tzero_tr_error_min, tzero_tr_error_max, tzero_tr_sec, tzero_tr_sec_error_min, tzero_tr_sec_error_max, lambda_angle, lambda_angle_error_min, lambda_angle_error_max, tzero_vr, tzero_vr_error_min, tzero_vr_error_max, temp_calculated, temp_measured, hot_point_lon, log_g, publication_status, discovered, updated, omega, omega_error_min, omega_error_max, tperi, tperi_error_min, tperi_error_max, detection_type, alternate_names, molecules, star_name, ra, dec, mag_v, mag_i, mag_j, mag_h, mag_k, star_distance, star_metallicity, star_mass, star_radius, star_sp_type, star_age, star_teff
CoRoT-20 b,4.24,0.23,0.23,0.84,0.04,0.04,9.24285,0.0,0.0,0.0902,0.0021,0.0021,0.562,0.013,0.013,7.3e-05,88.21,0.53,0.53,24455265.7907,0.0014,0.0014,,,,,,,,,,,,,,1,2011,2014-01-24,56.3,2.4,2.4,,,,detected by transit,,,CoRoT-20,97.730434,0.22692,14.66,,,,,1230.0,0.14,1.14,0.92,G2V,0.1,5880.0
CoRoT-21 b,2.26,0.31,0.31,1.3,0.14,0.14,2.72474,0.00014,0.00014,0.0417,0.0011,0.0011,0.0,,,,86.8,2.1,2.1,2454399.0282,0.0009,0.0009,,,,,,,,,,,,,,1,2011,2014-01-24,,,,,,,detected by transit,,,CoRoT-21,101.05245,-0.29913,16.0,,,,,,0.0,1.29,1.945,FIV8,4.1,6200.0
CoRoT-23 b,2.8,0.25,0.25,1.08,0.13,0.13,3.6314,0.0001,0.0001,0.0477,0.0038,0.0038,0.16,0.017,0.017,8e-05,85.7,1.5,1.5,2455308.93732,0.001,0.001,,,,,,,,,,,,,,1,2011,2014-01-26,51.8,9.0,9.0,,,,detected by transit,,,CoRoT-23,279.782615,4.3578,15.63,,,,,600.0,0.05,1.14,1.61,G0V,7.2,5900.0
CoRoT-25 b,0.27,0.04,0.04,1.08,0.1,0.3,4.86069,6e-05,6e-05,0.0578,0.0029,0.0029,,,,,84.5,0.8,0.3,2454577.4307,0.0008,0.0008,,,,,,,,,,,,,,1,2012,2014-05-21,,,,,,,detected by transit,,,CoRoT-25,280.6292,6.5139,15.0,,,,,1000.0,-0.01,1.09,1.19,G0V,5.2,6040.0
CoRoT-26 b,0.52,0.05,0.05,1.26,0.07,0.13,4.20474,5e-05,5e-05,0.0526,0.001,0.001,0.0,,,,86.8,2.2,1.0,2454574.6811,0.0008,0.0008,,,,,,,,,,,,,,1,2012,2014-05-21,,,,,,,detected by transit,,,CoRoT-26,279.75,6.97,15.76,,,,,1670.0,0.01,1.09,1.79,G8IV,8.6,5590.0
CoRoT-27 b,10.39,0.55,0.55,1.007,0.044,0.044,3.57532,6e-05,6e-05,0.0476,0.0066,0.0066,0.065,0.065,0.0,,86.7,1.2,0.87,24555748.684,0.001,0.001,,,,,,,,,,1500.0,,,,1,2012,2014-05-21,,,,,,,detected by transit,,,CoRoT-27,278.4958,5.5386,15.54,,,,,,0.1,1.05,1.08,G2,4.21,5900.0
CoRoT-3 b,21.77,1.0,1.0,1.01,0.07,0.07,4.2567994,5e-06,5e-06,0.057,0.003,0.003,0.0,,,8.4e-05,85.9,0.8,0.8,2454283.1383,0.0003,0.0003,,,,,,,,,,,,,,1,2008,2013-07-08,,,,,,,detected by transit,,,CoRoT-3,292.0541667,0.1219444,13.3,,,,,680.0,-0.02,1.37,1.56,F3V,2.0,6740.0
CoRoT-4 b,0.72,0.08,0.08,1.19,0.05,0.05,9.20205,0.00037,0.00037,0.09,0.001,0.001,0.0,0.0,0.0,,90.0,0.085,0.085,2454141.36416,0.00089,0.00089,,,,,,,,,,,,,,1,2008,2013-06-05,,,,,,,detected by transit,,,CoRoT-4,102.1958333,-0.6727778,13.7,,,,,,0.05,1.1,1.15,F8V,1.0,6190.0
CoRoT-5 b,0.467,0.024,0.067,1.33,0.047,0.047,4.0378962,1.9e-06,1.9e-06,0.04947,0.00029,0.00029,0.09,0.04,0.04,0.000124,85.83,1.38,1.38,2454400.19885,0.0002,0.0002,,,,,,,,,,,,,,1,2008,2014-01-24,-128.3,48.0,48.0,,,,detected by transit,,,CoRoT-5,101.2791667,0.8152778,14.0,,,,,400.0,-0.25,1.0,1.186,F9V,6.9,6100.0
CoRoT-6 b,2.96,0.34,0.34,1.166,0.035,0.035,8.886593,4e-06,4e-06,0.0855,0.0015,0.0015,0.1,inf,nan,,89.07,0.3,0.3,2454702.2556,0.0003,0.0003,,,,,,,,,,,,,,1,2009,2013-06-05,,,,2454595.6144,0.0002,0.0002,detected by transit,,,CoRoT-6,281.075,6.6633333,13.9,,,,,,-0.2,1.055,1.025,F9V,,6090.0
